tloss_a_step,tloss_step,w_accuracy_step,w_stability_step,epoch,trainer/global_step,tloss_s_step,_timestamp,_runtime,_step,tloss_a_epoch,tloss_s_epoch,tloss_epoch,w_accuracy_epoch,w_stability_epoch,sMAPE,RMSSC,RMSSE,sMAPC
1.3449023962020874,1.1882768869400024,0.8500000238418579,0.15000000596046448,0,49,0.3007323443889618,1778808866.0245223,27.73972549,0,,,,,,,,,
,,,,0,92,,1778808890.848188,52.56343832,1,1.355149507522583,0.33042168617248535,1.2014403343200684,0.849999189376831,0.14999987185001373,,,,
1.1836926937103271,1.054166316986084,0.8500000238418579,0.15000000596046448,1,99,0.32018351554870605,1778808894.5251007,56.240096661,2,,,,,,,,,
1.1087405681610107,0.9903013706207275,0.8500000238418579,0.15000000596046448,1,149,0.31914597749710083,1778808921.7176,83.432699549,3,,,,,,,,,
,,,,1,185,,1778808942.8594546,104.574834401,4,1.1448239088058472,0.3274533450603485,1.0222183465957642,0.849999189376831,0.14999987185001373,,,,
1.0950160026550293,0.9812148809432983,0.8500000238418579,0.15000000596046448,2,199,0.3363420367240906,1778808950.4082692,112.123312172,5,,,,,,,,,
1.2121261358261108,1.0814824104309082,0.8500000238418579,0.15000000596046448,2,249,0.3411674499511719,1778808977.293968,139.009018718,6,,,,,,,,,
,,,,2,278,,1778808994.5039113,156.219121909,7,1.1310670375823975,0.32240769267082214,1.0097682476043701,0.849999189376831,0.14999987185001373,,,,
1.0682368278503418,0.9571912884712219,0.8500000238418579,0.15000000596046448,3,299,0.327933132648468,1778809005.6253202,167.340565427,8,,,,,,,,,
1.0711095333099365,0.9588167667388916,0.8500000238418579,0.15000000596046448,3,349,0.3224911093711853,1778809032.5432568,194.258361346,9,,,,,,,,,
,,,,3,371,,1778809045.9691665,207.684344851,10,1.0876107215881348,0.32479244470596313,0.9731879234313965,0.849999189376831,0.14999987185001373,,,,
1.093947410583496,0.9802773594856262,0.8500000238418579,0.15000000596046448,4,399,0.33614659309387207,1778809061.083918,222.799129869,11,,,,,,,,,
1.0356730222702026,0.9268931150436401,0.8500000238418579,0.15000000596046448,4,449,0.31047323346138,1778809087.8578043,249.572870997,12,,,,,,,,,
,,,,4,464,,1778809097.6894624,259.404651351,13,1.0633748769760132,0.33242541551589966,0.9537323117256165,0.849999189376831,0.14999987185001373,,,,
