experiment,condition,seed,run_id,sMAPE,RMSSE,RMSSC,sMAPC
NHITS_B_Scratch_Stabilized_seed1,NHITS_Scratch_Stabilized,1,outh05z5,13.210073053076874,1.1480978627826042,0.7824047836582434,10.29136511796192
NHITS_A_Scratch_Standard_seed1,NHITS_Scratch_Standard,1,2u03kymc,13.53190514269335,1.1595832177599785,0.8522179603907368,11.206329534048265
NHITS_D_TL_Stabilized_finetune_seed1,NHITS_TL_Stabilized_finetune,1,oodho4ts,11.514995422103699,1.0614760125232903,0.33168031049244534,2.929912822087399
NHITS_C_TL_Standard_finetune_seed1,NHITS_TL_Standard_finetune,1,6rvcpjjp,11.575782378601598,1.058939076369908,0.44536436650562844,4.372953197656303
NHITS_E_ZeroShot_Stabilized_seed1,NHITS_ZeroShot_Stabilized,1,yyvya5ql,11.746138414035517,1.144092480371293,0.3441210251865016,3.2852941004436382
NHITS_E_ZeroShot_Standard_seed1,NHITS_ZeroShot_Standard,1,v0hrzes0,11.702407316253272,1.0928649242704085,0.46134786311835224,4.611461211862117
