metric,method,mean_rank,diff_from_best,is_best,tied_with_best,CD,N,k
sMAPE,NBEATS_TL_Stabilized,4.943977591036415,0.0,True,True,0.4409660350339429,1428,12
sMAPE,NBEATS_TL_Standard,5.014705882352941,0.07072829131652636,False,True,0.4409660350339429,1428,12
sMAPE,NHITS_TL_Stabilized,5.217086834733894,0.2731092436974789,False,True,0.4409660350339429,1428,12
sMAPE,NHITS_TL_Standard,5.569327731092437,0.625350140056022,False,False,0.4409660350339429,1428,12
sMAPE,NBEATS_ZeroShot_Stabilized,6.128151260504202,1.1841736694677873,False,False,0.4409660350339429,1428,12
sMAPE,NHITS_ZeroShot_Standard,6.454481792717087,1.5105042016806722,False,False,0.4409660350339429,1428,12
sMAPE,NBEATS_ZeroShot_Standard,6.656162464985995,1.71218487394958,False,False,0.4409660350339429,1428,12
sMAPE,NHITS_ZeroShot_Stabilized,6.775210084033613,1.8312324929971986,False,False,0.4409660350339429,1428,12
sMAPE,NBEATS_Scratch_Stabilized,7.0133053221288515,2.0693277310924367,False,False,0.4409660350339429,1428,12
sMAPE,NBEATS_Scratch_Standard,7.166666666666667,2.222689075630252,False,False,0.4409660350339429,1428,12
sMAPE,NHITS_Scratch_Stabilized,8.287114845938376,3.3431372549019613,False,False,0.4409660350339429,1428,12
sMAPE,NHITS_Scratch_Standard,8.773809523809524,3.829831932773109,False,False,0.4409660350339429,1428,12
RMSSE,NBEATS_TL_Stabilized,4.8466386554621845,0.0,True,True,0.4409660350339429,1428,12
RMSSE,NBEATS_TL_Standard,4.873949579831932,0.027310924369747802,False,True,0.4409660350339429,1428,12
RMSSE,NHITS_TL_Stabilized,5.099439775910364,0.25280112044817926,False,True,0.4409660350339429,1428,12
RMSSE,NHITS_TL_Standard,5.516806722689076,0.670168067226891,False,False,0.4409660350339429,1428,12
RMSSE,NBEATS_ZeroShot_Stabilized,6.0966386554621845,1.25,False,False,0.4409660350339429,1428,12
RMSSE,NHITS_ZeroShot_Standard,6.4033613445378155,1.556722689075631,False,False,0.4409660350339429,1428,12
RMSSE,NBEATS_ZeroShot_Standard,6.576330532212885,1.7296918767507004,False,False,0.4409660350339429,1428,12
RMSSE,NHITS_ZeroShot_Stabilized,6.651260504201681,1.8046218487394965,False,False,0.4409660350339429,1428,12
RMSSE,NBEATS_Scratch_Stabilized,7.137254901960785,2.2906162464986,False,False,0.4409660350339429,1428,12
RMSSE,NBEATS_Scratch_Standard,7.313025210084033,2.466386554621849,False,False,0.4409660350339429,1428,12
RMSSE,NHITS_Scratch_Stabilized,8.469887955182072,3.6232492997198875,False,False,0.4409660350339429,1428,12
RMSSE,NHITS_Scratch_Standard,9.015406162464986,4.168767507002801,False,False,0.4409660350339429,1428,12
sMAPC,NBEATS_TL_Stabilized,2.053921568627451,0.0,True,True,0.4409660350339429,1428,12
sMAPC,NHITS_TL_Stabilized,2.734593837535014,0.6806722689075633,False,False,0.4409660350339429,1428,12
sMAPC,NBEATS_ZeroShot_Stabilized,3.065826330532213,1.0119047619047623,False,False,0.4409660350339429,1428,12
sMAPC,NHITS_ZeroShot_Stabilized,3.5427170868347337,1.488795518207283,False,False,0.4409660350339429,1428,12
sMAPC,NBEATS_TL_Standard,5.92436974789916,3.870448179271709,False,False,0.4409660350339429,1428,12
sMAPC,NHITS_TL_Standard,6.581932773109243,4.528011204481793,False,False,0.4409660350339429,1428,12
sMAPC,NBEATS_ZeroShot_Standard,6.866946778711484,4.813025210084033,False,False,0.4409660350339429,1428,12
sMAPC,NHITS_ZeroShot_Standard,7.141456582633054,5.087535014005603,False,False,0.4409660350339429,1428,12
sMAPC,NBEATS_Scratch_Stabilized,8.992296918767506,6.938375350140055,False,False,0.4409660350339429,1428,12
sMAPC,NBEATS_Scratch_Standard,9.561624649859944,7.507703081232493,False,False,0.4409660350339429,1428,12
sMAPC,NHITS_Scratch_Stabilized,10.399159663865547,8.345238095238095,False,False,0.4409660350339429,1428,12
sMAPC,NHITS_Scratch_Standard,11.13515406162465,9.081232492997199,False,False,0.4409660350339429,1428,12
RMSSC,NBEATS_TL_Stabilized,2.0021008403361344,0.0,True,True,0.4409660350339429,1428,12
RMSSC,NHITS_TL_Stabilized,2.6582633053221287,0.6561624649859943,False,False,0.4409660350339429,1428,12
RMSSC,NBEATS_ZeroShot_Stabilized,2.984593837535014,0.9824929971988796,False,False,0.4409660350339429,1428,12
RMSSC,NHITS_ZeroShot_Stabilized,3.439075630252101,1.4369747899159666,False,False,0.4409660350339429,1428,12
RMSSC,NBEATS_TL_Standard,5.8011204481792715,3.799019607843137,False,False,0.4409660350339429,1428,12
RMSSC,NHITS_TL_Standard,6.438375350140056,4.436274509803922,False,False,0.4409660350339429,1428,12
RMSSC,NBEATS_ZeroShot_Standard,6.810924369747899,4.8088235294117645,False,False,0.4409660350339429,1428,12
RMSSC,NHITS_ZeroShot_Standard,7.139355742296919,5.137254901960785,False,False,0.4409660350339429,1428,12
RMSSC,NBEATS_Scratch_Stabilized,9.215686274509803,7.213585434173669,False,False,0.4409660350339429,1428,12
RMSSC,NBEATS_Scratch_Standard,9.718487394957982,7.716386554621848,False,False,0.4409660350339429,1428,12
RMSSC,NHITS_Scratch_Stabilized,10.53921568627451,8.537114845938376,False,False,0.4409660350339429,1428,12
RMSSC,NHITS_Scratch_Standard,11.25280112044818,9.250700280112046,False,False,0.4409660350339429,1428,12
