tloss_s_step,w_accuracy_step,w_stability_step,trainer/global_step,_timestamp,_step,tloss_a_step,tloss_step,epoch,_runtime,tloss_a_epoch,tloss_s_epoch,w_accuracy_epoch,tloss_epoch,w_stability_epoch,RMSSE,sMAPE,RMSSC,sMAPC
0.42081958055496216,0.8500000238418579,0.15000000596046448,49,1778797500.0766723,0,1.5241109132766724,1.3586173057556152,0,35.425928681,,,,,,,,,
,,,92,1778797526.6568205,1,,,0,62.006114765,1.6904182434082031,0.6035816073417664,0.849999189376831,1.5273921489715576,0.14999987185001373,,,,
0.414401113986969,0.8500000238418579,0.15000000596046448,99,1778797534.8608966,2,1.4319382905960083,1.2793077230453491,1,70.210022223,,,,,,,,,
0.45035088062286377,0.8500000238418579,0.15000000596046448,149,1778797564.6336226,3,1.3375217914581299,1.2044461965560913,1,99.982710085,,,,,,,,,
,,,185,1778797587.0835178,4,,,1,122.432921027,1.4056416749954224,0.45586439967155457,0.849999189376831,1.2631752490997314,0.14999987185001373,,,,
0.46982255578041077,0.8500000238418579,0.15000000596046448,199,1778797599.7116237,5,1.4140669107437134,1.2724303007125854,2,135.06070643,,,,,,,,,
0.4342792332172394,0.8500000238418579,0.15000000596046448,249,1778797629.2709067,6,1.389101505279541,1.2458782196044922,2,164.62000832,,,,,,,,,
,,,278,1778797647.2702234,7,,,2,182.619536936,1.3919626474380493,0.46010643243789673,0.849999189376831,1.2521847486495972,0.14999987185001373,,,,
0.4490070044994354,0.8500000238418579,0.15000000596046448,299,1778797663.6123815,8,1.3734805583953857,1.2348096370697021,3,198.961545875,,,,,,,,,
0.4525306820869446,0.8500000238418579,0.15000000596046448,349,1778797692.9469612,9,1.3018406629562378,1.1744441986083984,3,228.296027351,,,,,,,,,
,,,371,1778797707.1205752,10,,,3,242.470023454,1.3158701658248901,0.4672563970088959,0.849999189376831,1.1885778903961182,0.14999987185001373,,,,
0.44524624943733215,0.8500000238418579,0.15000000596046448,399,1778797728.235342,11,1.2308025360107422,1.1129690408706665,4,263.58444268,,,,,,,,,
0.5563583374023438,0.8500000238418579,0.15000000596046448,449,1778797757.4156923,12,1.3424615859985352,1.224546194076538,4,292.765220714,,,,,,,,,
,,,464,1778797767.135772,13,,,4,302.484985957,1.315935730934143,0.45976871252059937,0.849999189376831,1.1875108480453491,0.14999987185001373,,,,
0.4282931685447693,0.8500000238418579,0.15000000596046448,499,1778797792.1705406,14,1.231053352355957,1.1106394529342651,5,327.519638609,,,,,,,,,
0.4824759066104889,0.8500000238418579,0.15000000596046448,549,1778797821.3694196,15,1.3324388265609741,1.204944372177124,5,356.718705584,,,,,,,,,
,,,557,1778797826.7767112,16,,,5,362.126078949,1.3069244623184204,0.4605843424797058,0.849999189376831,1.1799733638763428,0.14999987185001373,,,,
0.4380320906639099,0.8500000238418579,0.15000000596046448,599,1778797855.092624,17,1.3072327375411987,1.1768527030944824,6,390.441787904,,,,,,,,,
0.43254464864730835,0.8500000238418579,0.15000000596046448,649,1778797884.3543353,18,1.3811190128326416,1.2388328313827515,6,419.703773832,,,,,,,,,
,,,650,1778797886.237842,19,,,6,421.586984653,1.2875487804412842,0.44743239879608154,0.849999189376831,1.1615315675735474,0.14999987185001373,,,,
0.44794195890426636,0.8500000238418579,0.15000000596046448,699,1778797918.5620368,20,1.3390018939971924,1.2053428888320923,7,453.911149953,,,,,,,,,
,,,743,1778797945.5699766,21,,,7,480.919403203,1.2824302911758423,0.4511060118675232,0.849999189376831,1.1577318906784058,0.14999987185001373,,,,
0.45506006479263306,0.8500000238418579,0.15000000596046448,749,1778797952.6198597,22,1.3221526145935059,1.1920887231826782,8,487.968954296,,,,,,,,,
0.45928531885147095,0.8500000238418579,0.15000000596046448,799,1778797981.7243187,23,1.303604245185852,1.1769565343856812,8,517.07350993,,,,,,,,,
,,,836,1778798004.0814564,24,,,8,539.430857847,1.2732644081115723,0.4423072040081024,0.849999189376831,1.1486204862594604,0.14999987185001373,,,,
0.4581783711910248,0.8500000238418579,0.15000000596046448,849,1778798015.3130786,25,1.4194672107696533,1.2752739191055298,9,550.662125919,,,,,,,,,
0.389534056186676,0.8500000238418579,0.15000000596046448,899,1778798044.703821,26,1.2822524309158325,1.14834463596344,9,580.052915914,,,,,,,,,
,,,929,1778798063.1283793,27,,,9,598.47799115,1.2766493558883667,0.457044780254364,0.849999189376831,1.153708815574646,0.14999987185001373,,,,
0.4488060474395752,0.8500000238418579,0.15000000596046448,949,1778798078.4206686,28,1.2881851196289062,1.1622782945632935,10,613.769781349,,,,,,,,,
0.4649466872215271,0.8500000238418579,0.15000000596046448,999,1778798107.696273,29,1.3129656314849854,1.1857627630233765,10,643.045327878,,,,,,,,,
,,,1022,1778798121.866284,30,,,10,657.215468552,1.2672123908996582,0.4450710713863373,0.849999189376831,1.1438913345336914,0.14999987185001373,,,,
0.4291269779205322,0.8500000238418579,0.15000000596046448,1049,1778798141.2064722,31,1.3207390308380127,1.1869972944259644,11,676.555735936,,,,,,,,,
0.4102823734283447,0.8500000238418579,0.15000000596046448,1099,1778798170.4888911,32,1.179674744606018,1.0642659664154053,11,705.837944708,,,,,,,,,
,,,1115,1778798180.7732577,33,,,11,716.122436356,1.2437165975570679,0.4491129517555237,0.849999189376831,1.1245259046554565,0.14999987185001373,,,,
0.4369066059589386,0.8500000238418579,0.15000000596046448,1149,1778798204.2015247,34,1.3256163597106934,1.1923099756240845,12,739.550774139,,,,,,,,,
0.4411596357822418,0.8500000238418579,0.15000000596046448,1199,1778798233.6542704,35,1.2497215270996094,1.1284372806549072,12,769.003341178,,,,,,,,,
,,,1208,1778798240.0371459,36,,,12,775.386352494,1.2603579759597778,0.4423713684082031,0.849999189376831,1.1376596689224243,0.14999987185001373,,,,
0.4547726809978485,0.8500000238418579,0.15000000596046448,1249,1778798267.3260856,37,1.236536979675293,1.1192724704742432,13,802.675283637,,,,,,,,,
0.46586543321609497,0.8500000238418579,0.15000000596046448,1299,1778798296.5736632,38,1.26742422580719,1.1471904516220093,13,831.922763092,,,,,,,,,
,,,1301,1778798298.7363243,39,,,13,834.085531218,1.264088749885559,0.45542895793914795,0.849999189376831,1.1427897214889526,0.14999987185001373,,,,
0.44174301624298096,0.8500000238418579,0.15000000596046448,1349,1778798330.3654864,40,1.2424005270004272,1.1223019361495972,14,865.714732486,,,,,,,,,
,,,1394,1778798357.5609043,41,,,14,892.91012626,1.2594435214996338,0.4532914161682129,0.849999189376831,1.13852059841156,0.14999987185001373,,,,
0.4659586548805237,0.8500000238418579,0.15000000596046448,1399,1778798364.2561738,42,1.2716946601867676,1.150834321975708,15,899.6052098,,,,,,,,,
0.42876845598220825,0.8500000238418579,0.15000000596046448,1449,1778798393.3314872,43,1.2316415309906006,1.1112107038497925,15,928.680680722,,,,,,,,,
,,,1487,1778798416.6420867,44,,,15,951.991386614,1.2576428651809692,0.45305168628692627,0.849999189376831,1.1369540691375732,0.14999987185001373,,,,
0.4239543080329895,0.8500000238418579,0.15000000596046448,1499,1778798427.3616962,45,1.2220211029052734,1.102311134338379,16,962.71083314,,,,,,,,,
0.40404534339904785,0.8500000238418579,0.15000000596046448,1549,1778798456.3376915,46,1.187089443206787,1.069632887840271,16,991.686838783,,,,,,,,,
,,,1580,1778798475.6409872,47,,,16,1010.99022343,1.2549976110458374,0.446087121963501,0.849999189376831,1.1336612701416016,0.14999987185001373,,,,
0.47007399797439575,0.8500000238418579,0.15000000596046448,1599,1778798490.2910378,48,1.246572732925415,1.1300979852676392,17,1025.640118719,,,,,,,,,
0.4436471462249756,0.8500000238418579,0.15000000596046448,1649,1778798519.2429497,49,1.247434139251709,1.126866102218628,17,1054.592131635,,,,,,,,,
,,,1673,1778798534.4558253,50,,,17,1069.804988479,1.2467665672302246,0.43794193863868713,0.849999189376831,1.1254428625106812,0.14999987185001373,,,,
0.4253806173801422,0.8500000238418579,0.15000000596046448,1699,1778798553.352765,51,1.2571995258331299,1.1324267387390137,18,1088.701940723,,,,,,,,,
0.4594588875770569,0.8500000238418579,0.15000000596046448,1749,1778798582.2413833,52,1.270491123199463,1.1488362550735474,18,1117.590528329,,,,,,,,,
,,,1766,1778798593.1590393,53,,,18,1128.508325234,1.254129409790039,0.4395822584629059,0.849999189376831,1.1319471597671509,0.14999987185001373,,,,
0.43022871017456055,0.8500000238418579,0.15000000596046448,1799,1778798616.3177137,54,1.2717740535736084,1.1455422639846802,19,1151.667115942,,,,,,,,,
0.4476826786994934,0.8500000238418579,0.15000000596046448,1849,1778798645.2497792,55,1.2190678119659424,1.1033600568771362,19,1180.598812437,,,,,,,,,
,,,1859,1778798652.1550267,56,,,19,1187.504181047,1.24868905544281,0.44447436928749084,0.849999189376831,1.1280570030212402,0.14999987185001373,,,,
0.4508569538593292,0.8500000238418579,0.15000000596046448,1899,1778798679.1590223,57,1.2942309379577637,1.167724847793579,20,1214.508306736,,,,,,,,,
0.39669501781463623,0.8500000238418579,0.15000000596046448,1949,1778798708.1339786,58,1.2343711853027344,1.108719825744629,20,1243.483083282,,,,,,,,,
,,,1952,1778798710.8358216,59,,,20,1246.18499887,1.2449307441711426,0.44433116912841797,0.849999189376831,1.1248407363891602,0.14999987185001373,,,,
0.4925795793533325,0.8500000238418579,0.15000000596046448,1999,1778798741.7448888,60,1.236708402633667,1.125089168548584,21,1277.094169086,,,,,,,,,
,,,2045,1778798769.712216,61,,,21,1305.061390444,1.2414352893829346,0.44609737396240234,0.849999189376831,1.1221345663070679,0.14999987185001373,,,,
0.4844537377357483,0.8500000238418579,0.15000000596046448,2049,1778798775.5093188,62,1.2786180973052979,1.1594934463500977,22,1310.858391239,,,,,,,,,
0.4225688576698303,0.8500000238418579,0.15000000596046448,2099,1778798804.946529,63,1.2194278240203857,1.0998990535736084,22,1340.295786297,,,,,,,,,
,,,2138,1778798828.8585308,64,,,22,1364.207751233,1.2480298280715942,0.446283757686615,0.849999189376831,1.1277680397033691,0.14999987185001373,,,,
0.41765695810317993,0.8500000238418579,0.15000000596046448,2149,1778798838.7705698,65,1.262144923210144,1.1354717016220093,23,1374.119732351,,,,,,,,,
0.4167047441005707,0.8500000238418579,0.15000000596046448,2199,1778798867.8111806,66,1.257781982421875,1.1316204071044922,23,1403.160411394,,,,,,,,,
,,,2231,1778798887.4230478,67,,,23,1422.772305534,1.2411383390426636,0.4346287250518799,0.849999189376831,1.1201621294021606,0.14999987185001373,,,,
0.4136504828929901,0.8500000238418579,0.15000000596046448,2249,1778798901.5418477,68,1.2182602882385254,1.0975688695907593,24,1436.891018293,,,,,,,,,
0.4437778890132904,0.8500000238418579,0.15000000596046448,2299,1778798930.6801512,69,1.2222412824630737,1.1054718494415283,24,1466.029430871,,,,,,,,,
