tloss_a_step,w_stability_step,trainer/global_step,_runtime,_step,tloss_s_step,tloss_step,w_accuracy_step,epoch,_timestamp,tloss_a_epoch,tloss_s_epoch,tloss_epoch,w_accuracy_epoch,w_stability_epoch,sMAPE,sMAPC,RMSSE,RMSSC
1.0067204236984253,0.15000000596046448,49,27.733958911,0,0.3321765661239624,0.9055389165878296,0.8500000238418579,0,1778826366.1883492,,,,,,,,,
,,92,52.497667745,1,,,,0,1778826390.9515834,1.088842511177063,0.35031813383102417,0.9780641794204712,0.849999189376831,0.14999987185001373,,,,
1.0600439310073853,0.15000000596046448,99,56.323250311,2,0.3212772607803345,0.9492290019989014,0.8500000238418579,1,1778826394.777805,,,,,,,,,
1.0306305885314941,0.15000000596046448,149,82.614756743,3,0.34185266494750977,0.9273139238357544,0.8500000238418579,1,1778826421.0693758,,,,,,,,,
,,185,103.40457416,4,,,,1,1778826441.8590026,1.0763332843780518,0.3447742164134979,0.9665993452072144,0.849999189376831,0.14999987185001373,,,,
0.9938405752182007,0.15000000596046448,199,110.928473046,5,0.31096237897872925,0.8914089202880859,0.8500000238418579,2,1778826449.382808,,,,,,,,,
1.1083600521087646,0.15000000596046448,249,137.628079622,6,0.32070156931877136,0.9902113080024719,0.8500000238418579,2,1778826476.082577,,,,,,,,,
,,278,154.865742132,7,,,,2,1778826493.320169,1.0733981132507324,0.3398793339729309,0.9633700251579285,0.849999189376831,0.14999987185001373,,,,
1.1246557235717773,0.15000000596046448,299,165.936504051,8,0.35756412148475647,1.009592056274414,0.8500000238418579,3,1778826504.3911102,,,,,,,,,
1.0872880220413208,0.15000000596046448,349,192.687202925,9,0.3329780697822571,0.9741415977478027,0.8500000238418579,3,1778826531.1416893,,,,,,,,,
,,371,206.196852728,10,,,,3,1778826544.651318,1.0708009004592896,0.34084129333496094,0.9613070487976074,0.849999189376831,0.14999987185001373,,,,
1.0499460697174072,0.15000000596046448,399,221.209805548,11,0.32701531052589417,0.9415065050125122,0.8500000238418579,4,1778826559.664324,,,,,,,,,
1.1004114151000977,0.15000000596046448,449,247.973519704,12,0.3532944917678833,0.9883438944816589,0.8500000238418579,4,1778826586.4278636,,,,,,,,,
,,464,257.824066275,13,,,,4,1778826596.2784784,1.0627765655517578,0.3402756452560425,0.9544013142585754,0.849999189376831,0.14999987185001373,,,,
1.0438567399978638,0.15000000596046448,499,276.600780915,14,0.3369401693344116,0.9378193020820618,0.8500000238418579,5,1778826615.0552824,,,,,,,,,
1.0746853351593018,0.15000000596046448,549,303.333596637,15,0.3217293620109558,0.9617419242858887,0.8500000238418579,5,1778826641.7879987,,,,,,,,,
,,557,309.452006672,16,,,,5,1778826647.9064867,1.0545331239700317,0.3343450427055359,0.9465050101280212,0.849999189376831,0.14999987185001373,,,,
1.0658862590789795,0.15000000596046448,599,332.381207091,17,0.34081611037254333,0.9571257829666138,0.8500000238418579,6,1778826670.835761,,,,,,,,,
1.0603513717651367,0.15000000596046448,649,358.999974013,18,0.3249354958534241,0.9500390291213989,0.8500000238418579,6,1778826697.454432,,,,,,,,,
,,650,361.345490335,19,,,,6,1778826699.7999325,1.0577634572982788,0.3355972468852997,0.9494386911392212,0.849999189376831,0.14999987185001373,,,,
1.0623469352722168,0.15000000596046448,699,387.654721565,20,0.33701634407043457,0.9535473585128784,0.8500000238418579,7,1778826726.109196,,,,,,,,,
