tloss_a_step,w_stability_step,trainer/global_step,_runtime,_step,tloss_s_step,tloss_step,w_accuracy_step,epoch,_timestamp,tloss_a_epoch,tloss_s_epoch,tloss_epoch,w_accuracy_epoch,w_stability_epoch,sMAPE,sMAPC,RMSSE,RMSSC
,,1394,772.497100179,41,,,,14,1778827110.9515486,1.0467532873153687,0.3309462070465088,0.9393825531005859,0.849999189376831,0.14999987185001373,,,,
1.10181725025177,0.15000000596046448,1399,775.098269887,42,0.36344966292381287,0.9910621643066406,0.8500000238418579,15,1778827113.5528653,,,,,,,,,
1.0697195529937744,0.15000000596046448,1449,801.678848845,43,0.320437490940094,0.9573272466659546,0.8500000238418579,15,1778827140.1333046,,,,,,,,,
,,1487,823.556105161,44,,,,15,1778827162.010611,1.0506598949432373,0.32960817217826843,0.9425022602081299,0.849999189376831,0.14999987185001373,,,,
1.0360291004180908,0.15000000596046448,1499,829.989662203,45,0.3155352473258972,0.9279550313949585,0.8500000238418579,16,1778827168.444262,,,,,,,,,
1.0456199645996094,0.15000000596046448,1549,857.057307411,46,0.33634045720100403,0.9392280578613281,0.8500000238418579,16,1778827195.5117948,,,,,,,,,
,,1580,875.241509968,47,,,,16,1778827213.6960788,1.0476667881011963,0.3239234685897827,0.939105212688446,0.849999189376831,0.14999987185001373,,,,
1.1040914058685303,0.15000000596046448,1599,885.252370999,48,0.3389352560043335,0.9893180131912231,0.8500000238418579,17,1778827223.7069297,,,,,,,,,
1.045021653175354,0.15000000596046448,1649,911.836011523,49,0.3159891963005066,0.9356667995452881,0.8500000238418579,17,1778827250.2904115,,,,,,,,,
,,1673,926.588306759,50,,,,17,1778827265.0428386,1.0500901937484741,0.32938599586486816,0.9419845938682556,0.849999189376831,0.14999987185001373,,,,
1.0417838096618652,0.15000000596046448,1699,940.498008165,51,0.32217466831207275,0.9338424801826477,0.8500000238418579,18,1778827278.9525378,,,,,,,,,
1.0575268268585205,0.15000000596046448,1749,966.675243618,52,0.33663779497146606,0.9493935108184814,0.8500000238418579,18,1778827305.1297486,,,,,,,,,
,,1766,977.635087639,53,,,,18,1778827316.0894048,1.0507903099060059,0.32969534397125244,0.9426265358924866,0.849999189376831,0.14999987185001373,,,,
0.9725719690322876,0.15000000596046448,1799,995.233161684,54,0.32161152362823486,0.8749279379844666,0.8500000238418579,19,1778827333.687662,,,,,,,,,
1.1324021816253662,0.15000000596046448,1849,1021.543705439,55,0.3477029800415039,1.0146973133087158,0.8500000238418579,19,1778827359.9982922,,,,,,,,,
,,1859,1028.482358572,56,,,,19,1778827366.936894,1.041866421699524,0.3266485929489136,0.9345836043357849,0.849999189376831,0.14999987185001373,,,,
1.0189449787139893,0.15000000596046448,1899,1050.224133537,57,0.3260919451713562,0.9150170087814331,0.8500000238418579,20,1778827388.6786149,,,,,,,,,
1.1246280670166016,0.15000000596046448,1949,1076.758286577,58,0.353826642036438,1.0090078115463257,0.8500000238418579,20,1778827415.2127514,,,,,,,,,
,,1952,1080.10947783,59,,,,20,1778827418.5638993,1.0490363836288452,0.32586196064949036,0.9405602812767029,0.849999189376831,0.14999987185001373,,,,
1.0617895126342773,0.15000000596046448,1999,1105.154902315,60,0.34054189920425415,0.9536024332046509,0.8500000238418579,21,1778827443.6092925,,,,,,,,,
,,2045,1131.658086618,61,,,,21,1778827470.112529,1.0476235151290894,0.3265206515789032,0.9394577145576477,0.849999189376831,0.14999987185001373,,,,
1.0456702709197998,0.15000000596046448,2049,1133.831106823,62,0.3617474436759949,0.9430818557739258,0.8500000238418579,22,1778827472.2856817,,,,,,,,,
1.0200259685516357,0.15000000596046448,2099,1160.598563691,63,0.32237496972084045,0.9153783321380615,0.8500000238418579,22,1778827499.0530343,,,,,,,,,
,,2138,1183.359929407,64,,,,22,1778827521.8143988,1.050294041633606,0.32691338658332825,0.9417868852615356,0.849999189376831,0.14999987185001373,,,,
1.0411889553070068,0.15000000596046448,2149,1189.3239328,65,0.3190629780292511,0.932870090007782,0.8500000238418579,23,1778827527.7784657,,,,,,,,,
1.027348279953003,0.15000000596046448,2199,1216.298001612,66,0.29584693908691406,0.9176231026649475,0.8500000238418579,23,1778827554.752278,,,,,,,,,
,,2231,1235.36700878,67,,,,23,1778827573.8214326,1.0428589582443237,0.3257509171962738,0.9352925419807434,0.849999189376831,0.14999987185001373,,,,
1.1067707538604736,0.15000000596046448,2249,1245.289796763,68,0.3452552556991577,0.9925434589385986,0.8500000238418579,24,1778827583.7443087,,,,,,,,,
1.0656378269195557,0.15000000596046448,2299,1272.021589544,69,0.32022470235824585,0.9538258910179138,0.8500000238418579,24,1778827610.476168,,,,,,,,,
,,2324,1287.328635439,70,,,,24,1778827625.7828405,1.048089623451233,0.32870060205459595,0.9401815533638,0.849999189376831,0.14999987185001373,,,,
1.0724148750305176,0.15000000596046448,2349,1301.030488946,71,0.35419416427612305,0.9646818041801453,0.8500000238418579,25,1778827639.4850378,,,,,,,,,
1.0458649396896362,0.15000000596046448,2399,1327.484965794,72,0.31324684619903564,0.935972273349762,0.8500000238418579,25,1778827665.939482,,,,,,,,,
,,2417,1338.991756616,73,,,,25,1778827677.4457464,1.043355941772461,0.32397153973579407,0.9354487061500549,0.849999189376831,0.14999987185001373,,,,
1.072841763496399,0.15000000596046448,2449,1356.373500792,74,0.324603408575058,0.960606038570404,0.8500000238418579,26,1778827694.8280349,,,,,,,,,
1.0835057497024536,0.15000000596046448,2499,1382.95552317,75,0.3043100833892822,0.9666264057159424,0.8500000238418579,26,1778827721.4100852,,,,,,,,,
,,2510,1390.768417467,76,,,,26,1778827729.2228734,1.0483224391937256,0.32552337646484375,0.9399024248123169,0.849999189376831,0.14999987185001373,,,,
1.0456230640411377,0.15000000596046448,2549,1411.436445961,77,0.3387593626976013,0.9395935535430908,0.8500000238418579,27,1778827749.8909,,,,,,,,,
1.0385284423828125,0.15000000596046448,2599,1438.03099111,78,0.339889258146286,0.9337325692176819,0.8500000238418579,27,1778827776.4855607,,,,,,,,,
,,2603,1441.92644977,79,,,,27,1778827780.38097,1.047192931175232,0.32655468583106995,0.9390968680381775,0.849999189376831,0.14999987185001373,,,,
1.0518232583999634,0.15000000596046448,2649,1466.720365273,80,0.3242642879486084,0.9426894783973694,0.8500000238418579,28,1778827805.1745687,,,,,,,,,
,,2696,1493.736979979,81,,,,28,1778827832.191349,1.0409784317016602,0.32472851872444153,0.9335408210754395,0.849999189376831,0.14999987185001373,,,,
1.0882614850997925,0.15000000596046448,2699,1495.329088558,82,0.3511907458305359,0.97770094871521,0.8500000238418579,29,1778827833.7836454,,,,,,,,,
0.9965383410453796,0.15000000596046448,2749,1522.276562607,83,0.3233206868171692,0.8955557346343994,0.8500000238418579,29,1778827860.7310731,,,,,,,,,
,,2789,1545.229558563,84,,,,29,1778827883.6840174,1.0448071956634521,0.32392144203186035,0.9366743564605713,0.849999189376831,0.14999987185001373,,,,
,,2790,1562.84776937,85,,,,30,1778827901.3022082,,,,,,11.51487922668457,2.923715353012085,1.0613924264907837,0.3316621780395508
