tloss_a_step,tloss_s_step,tloss_step,w_accuracy_step,epoch,trainer/global_step,_timestamp,w_stability_step,_runtime,_step,w_accuracy_epoch,w_stability_epoch,tloss_a_epoch,tloss_s_epoch,tloss_epoch,RMSSC,sMAPC,RMSSE,sMAPE
1.1022645235061646,0.3462488353252411,0.9888622164726257,0.8500000238418579,0,49,1778807168.3452222,0.15000000596046448,29.811813719,0,,,,,,,,,
,,,,0,92,1778807194.23541,,55.701793603,1,0.849999189376831,0.14999987185001373,1.0710400342941284,0.3395825922489166,0.9613214135169983,,,,
1.1073957681655884,0.3489868640899658,0.9936344623565674,0.8500000238418579,1,99,1778807198.452944,0.15000000596046448,59.919215152,2,,,,,,,,,
1.0431537628173828,0.3092718720436096,0.933071494102478,0.8500000238418579,1,149,1778807227.398558,0.15000000596046448,88.865118567,3,,,,,,,,,
,,,,1,185,1778807248.95016,,110.416545136,4,0.849999189376831,0.14999987185001373,1.069963812828064,0.3368951976299286,0.9600036144256592,,,,
1.0636038780212402,0.342210054397583,0.9553948640823364,0.8500000238418579,2,199,1778807257.0813637,0.15000000596046448,118.547696741,5,,,,,,,,,
1.008707046508789,0.32159578800201416,0.9056403636932373,0.8500000238418579,2,249,1778807286.1384358,0.15000000596046448,147.604990368,6,,,,,,,,,
,,,,2,278,1778807303.9515092,,165.41800614,7,0.849999189376831,0.14999987185001373,1.058058738708496,0.3334275186061859,0.9493641257286072,,,,
1.1473143100738525,0.3447193503379822,1.0269250869750977,0.8500000238418579,3,299,1778807316.1789675,0.15000000596046448,177.645259165,8,,,,,,,,,
1.0387811660766602,0.3363628387451172,0.9334184527397156,0.8500000238418579,3,349,1778807345.0399935,0.15000000596046448,206.506413431,9,,,,,,,,,
,,,,3,371,1778807358.9339693,,220.400465601,10,0.849999189376831,0.14999987185001373,1.0546292066574097,0.32998746633529663,0.9459326863288879,,,,
1.0585908889770508,0.30917826294898987,0.9461790323257446,0.8500000238418579,4,399,1778807374.9734254,0.15000000596046448,236.439696839,11,,,,,,,,,
0.986268162727356,0.3108699321746826,0.8849584460258484,0.8500000238418579,4,449,1778807403.822734,0.15000000596046448,265.289539104,12,,,,,,,,,
,,,,4,464,1778807413.6559386,,275.122282309,13,0.849999189376831,0.14999987185001373,1.0561937093734741,0.3252662718296051,0.9465546011924744,,,,
1.0133925676345825,0.31253939867019653,0.9082646369934082,0.8500000238418579,5,499,1778807434.066144,0.15000000596046448,295.532352212,14,,,,,,,,,
1.0573623180389404,0.3325421214103699,0.9486393332481384,0.8500000238418579,5,549,1778807462.8439252,0.15000000596046448,324.310474203,15,,,,,,,,,
,,,,5,557,1778807468.4541004,,329.920548339,16,0.849999189376831,0.14999987185001373,1.0468159914016724,0.32483965158462524,0.9385195374488831,,,,
1.1047053337097168,0.36786994338035583,0.9941800236701965,0.8500000238418579,6,599,1778807492.8444138,0.15000000596046448,354.310691573,17,,,,,,,,,
0.9905583262443542,0.29662463068962097,0.8864682912826538,0.8500000238418579,6,649,1778807521.8263388,0.15000000596046448,383.292694865,18,,,,,,,,,
,,,,6,650,1778807523.552959,,385.019321547,19,0.849999189376831,0.14999987185001373,1.0449868440628052,0.3251464068889618,0.9370111227035522,,,,
1.0795650482177734,0.3240117132663727,0.9662320613861084,0.8500000238418579,7,699,1778807552.1762507,0.15000000596046448,413.64267045,20,,,,,,,,,
,,,,7,743,1778807578.7083664,,440.174786715,21,0.849999189376831,0.14999987185001373,1.0451018810272217,0.32356777787208557,0.9368720054626465,,,,
1.00028395652771,0.3111759424209595,0.8969177603721619,0.8500000238418579,8,749,1778807582.3514383,0.15000000596046448,443.817677698,22,,,,,,,,,
1.0388022661209106,0.2865869998931885,0.9259700179100037,0.8500000238418579,8,799,1778807611.1027544,0.15000000596046448,472.569183946,23,,,,,,,,,
,,,,8,836,1778807633.891744,,495.358236274,24,0.849999189376831,0.14999987185001373,1.0452196598052979,0.31838834285736084,0.9361951947212219,,,,
1.0376873016357422,0.2993277907371521,0.9269334077835083,0.8500000238418579,9,849,1778807641.3022497,0.15000000596046448,502.768482273,25,,,,,,,,,
1.0654515027999878,0.3238000273704529,0.9542038440704346,0.8500000238418579,9,899,1778807670.4807413,0.15000000596046448,531.947168596,26,,,,,,,,,
,,,,9,929,1778807688.9750938,,550.44155026,27,0.849999189376831,0.14999987185001373,1.0482702255249023,0.3222365081310272,0.9393649101257324,,,,
0.9899755716323853,0.3008110821247101,0.886600911617279,0.8500000238418579,10,949,1778807700.5869482,0.15000000596046448,562.05321868,28,,,,,,,,,
1.0323376655578613,0.31881099939346313,0.9253087043762207,0.8500000238418579,10,999,1778807729.5292292,0.15000000596046448,590.995566649,29,,,,,,,,,
,,,,10,1022,1778807743.7438822,,605.210416879,30,0.849999189376831,0.14999987185001373,1.0364632606506348,0.31587186455726624,0.9283746480941772,,,,
1.0276576280593872,0.3035053610801697,0.9190347790718079,0.8500000238418579,11,1049,1778807759.404217,0.15000000596046448,620.870468082,31,,,,,,,,,
1.0405499935150146,0.33340272307395935,0.9344779253005981,0.8500000238418579,11,1099,1778807788.2308445,0.15000000596046448,649.697093346,32,,,,,,,,,
,,,,11,1115,1778807798.5034688,,659.969830219,33,0.849999189376831,0.14999987185001373,1.0458171367645264,0.31777456402778625,0.9366106986999512,,,,
1.0484641790390015,0.3585951328277588,0.9449838399887085,0.8500000238418579,12,1149,1778807818.1105614,0.15000000596046448,679.576776592,34,,,,,,,,,
1.0299198627471924,0.285514771938324,0.9182591438293457,0.8500000238418579,12,1199,1778807847.1729848,0.15000000596046448,708.639269854,35,,,,,,,,,
,,,,12,1208,1778807853.2899253,,714.75629876,36,0.849999189376831,0.14999987185001373,1.0440797805786133,0.318320095539093,0.9352161288261414,,,,
1.1116454601287842,0.33342355489730835,0.9949122071266174,0.8500000238418579,13,1249,1778807877.1177368,0.15000000596046448,738.584047944,37,,,,,,,,,
1.0410852432250977,0.33444082736968994,0.9350886344909668,0.8500000238418579,13,1299,1778807906.0226552,0.15000000596046448,767.489030139,38,,,,,,,,,
,,,,13,1301,1778807908.2999141,,769.76633647,39,0.849999189376831,0.14999987185001373,1.0426205396652222,0.31838396191596985,0.9339848756790161,,,,
1.0748651027679443,0.3023209571838379,0.9589835405349731,0.8500000238418579,14,1349,1778807936.0946984,0.15000000596046448,797.561027896,40,,,,,,,,,
,,,,14,1394,1778807963.526946,,824.993541967,41,0.849999189376831,0.14999987185001373,1.038955807685852,0.31341129541397095,0.9301243424415588,,,,
1.0836584568023682,0.3388500511646271,0.9719372391700745,0.8500000238418579,15,1399,1778807966.351971,0.15000000596046448,827.818186727,42,,,,,,,,,
1.000372052192688,0.3102110028266907,0.8968479633331299,0.8500000238418579,15,1449,1778807995.074362,0.15000000596046448,856.540694492,43,,,,,,,,,
,,,,15,1487,1778808018.2256882,,879.692512281,44,0.849999189376831,0.14999987185001373,1.0362876653671265,0.31288623809814453,0.9277772903442383,,,,
1.0630146265029907,0.30404582619667053,0.9491693377494812,0.8500000238418579,16,1499,1778808025.2267122,0.15000000596046448,886.692952232,45,,,,,,,,,
1.0608693361282349,0.3167886734008789,0.9492572546005249,0.8500000238418579,16,1549,1778808053.8953366,0.15000000596046448,915.361621797,46,,,,,,,,,
,,,,16,1580,1778808072.7531583,,934.21952988,47,0.849999189376831,0.14999987185001373,1.043447494506836,0.31603696942329407,0.934336245059967,,,,
1.0280871391296387,0.336357444524765,0.9243276715278625,0.8500000238418579,17,1599,1778808083.9626417,0.15000000596046448,945.429096705,48,,,,,,,,,
1.0620532035827637,0.34221458435058594,0.954077422618866,0.8500000238418579,17,1649,1778808112.9096277,0.15000000596046448,974.375940998,49,,,,,,,,,
,,,,17,1673,1778808128.0299928,,989.496383323,50,0.849999189376831,0.14999987185001373,1.0341737270355225,0.3113737106323242,0.9257537126541138,,,,
1.0389044284820557,0.31604188680648804,0.930475115776062,0.8500000238418579,18,1699,1778808143.1755617,0.15000000596046448,1004.64215931,51,,,,,,,,,
1.0036494731903076,0.31978699564933777,0.9010701179504395,0.8500000238418579,18,1749,1778808171.7450829,0.15000000596046448,1033.211341537,52,,,,,,,,,
,,,,18,1766,1778808182.861882,,1044.328258384,53,0.849999189376831,0.14999987185001373,1.0355514287948608,0.3141295611858368,0.9273380637168884,,,,
1.1355314254760742,0.3164738416671753,1.012672781944275,0.8500000238418579,19,1799,1778808201.9458277,0.15000000596046448,1063.412323164,54,,,,,,,,,
1.0520633459091187,0.33162665367126465,0.943997859954834,0.8500000238418579,19,1849,1778808230.6928039,0.15000000596046448,1092.15908249,55,,,,,,,,,
,,,,19,1859,1778808237.7368782,,1099.203377205,56,0.849999189376831,0.14999987185001373,1.0412863492965698,0.31347814202308655,0.9321151375770569,,,,
1.0931156873703003,0.30512678623199463,0.9749174118041992,0.8500000238418579,20,1899,1778808260.9927294,0.15000000596046448,1122.459502825,57,,,,,,,,,
0.9950815439224243,0.29529038071632385,0.8901129364967346,0.8500000238418579,20,1949,1778808289.691589,0.15000000596046448,1151.157864579,58,,,,,,,,,
,,,,20,1952,1778808292.5936193,,1154.060040525,59,0.849999189376831,0.14999987185001373,1.0391451120376587,0.31112363934516907,0.9299420714378357,,,,
1.0589314699172974,0.30668866634368896,0.9460950493812561,0.8500000238418579,21,1999,1778808320.150419,0.15000000596046448,1181.616708247,60,,,,,,,,,
,,,,21,2045,1778808347.7674294,,1209.234001041,61,0.849999189376831,0.14999987185001373,1.034389615058899,0.31020432710647583,0.9257616996765137,,,,
1.0212076902389526,0.28344452381134033,0.9105432033538818,0.8500000238418579,22,2049,1778808350.0571516,0.15000000596046448,1211.523360066,62,,,,,,,,,
1.033409833908081,0.30974894762039185,0.9248607158660889,0.8500000238418579,22,2099,1778808378.816166,0.15000000596046448,1240.282407351,63,,,,,,,,,
,,,,22,2138,1778808402.2531102,,1263.719673065,64,0.849999189376831,0.14999987185001373,1.0322914123535156,0.30831068754196167,0.9236945509910583,,,,
1.0719752311706543,0.33925068378448486,0.9620665311813354,0.8500000238418579,23,2149,1778808408.6282334,0.15000000596046448,1270.094506581,65,,,,,,,,,
1.0044312477111816,0.3159112334251404,0.9011532664299011,0.8500000238418579,23,2199,1778808437.4575424,0.15000000596046448,1298.92377361,66,,,,,,,,,
,,,,23,2231,1778808457.0695088,,1318.536033224,67,0.849999189376831,0.14999987185001373,1.0443620681762695,0.31380680203437805,0.9347788691520691,,,,
0.9995825290679932,0.3109256625175476,0.8962840437889099,0.8500000238418579,24,2249,1778808467.4251919,0.15000000596046448,1328.891478813,68,,,,,,,,,
1.0552711486816406,0.2987084686756134,0.9417867660522461,0.8500000238418579,24,2299,1778808496.5855997,0.15000000596046448,1358.05184009,69,,,,,,,,,
