series_id,scenario,arch,variant,sMAPE,RMSSE,sMAPC,RMSSC,model
0,Scratch,NBEATS,Stabilized,61.69655873225286,0.5390147742552635,22.53317705790202,0.18090387997336874,NBEATS_Stabilized
0,Scratch,NBEATS,Standard,67.19325461754433,0.5727902750174204,38.6820736909524,0.24359178562194872,NBEATS_Standard
0,Scratch,NHITS,Stabilized,66.54357606936723,0.5861166899020854,25.176412062767223,0.21542491300556907,NHITS_Stabilized
0,Scratch,NHITS,Standard,69.28172282683543,0.6118594728983365,32.910020800737236,0.27251520239485383,NHITS_Standard
0,TL,NBEATS,Stabilized,65.95877251258263,0.5660807016568307,35.113535226919716,0.2640167569311765,NBEATS_Stabilized
0,TL,NBEATS,Standard,66.57394047272511,0.5713493984479171,37.70993888378143,0.28046584301269967,NBEATS_Standard
0,TL,NHITS,Stabilized,71.07237126277043,0.6311303934989831,40.95724662756309,0.34581870003006393,NHITS_Stabilized
0,TL,NHITS,Standard,73.9512584392841,0.6395964813538086,51.13347401985755,0.3749000660310953,NHITS_Standard
0,ZeroShot,NBEATS,Stabilized,63.62584138527895,0.5496192253552951,28.714402541136128,0.2234453929062837,NBEATS_Stabilized
0,ZeroShot,NBEATS,Standard,67.5801049256936,0.5729673000482413,41.198090394337974,0.277822146908595,NBEATS_Standard
0,ZeroShot,NHITS,Stabilized,71.5573008610652,0.6397626361785791,32.48476236905807,0.28679808076375574,NHITS_Stabilized
0,ZeroShot,NHITS,Standard,74.8919892922426,0.6850337439622635,44.54147578202761,0.37311283393930167,NHITS_Standard
1,Scratch,NBEATS,Stabilized,32.708455794896835,0.22894716377441696,12.776735495298338,0.07809699735102742,NBEATS_Stabilized
1,Scratch,NBEATS,Standard,37.737328455998345,0.24773102731276778,20.03730986668513,0.10271413156237354,NBEATS_Standard
1,Scratch,NHITS,Stabilized,39.08382704319098,0.26464769014945394,20.138456677779175,0.09892016591934057,NHITS_Stabilized
1,Scratch,NHITS,Standard,36.5888011149871,0.25391410539547604,23.771806386800915,0.12939784169579163,NHITS_Standard
1,TL,NBEATS,Stabilized,33.3625685373942,0.23103172274736253,15.692232834987152,0.09470282592930086,NBEATS_Stabilized
1,TL,NBEATS,Standard,34.186486268654846,0.23512156880818877,18.826904718692486,0.11254476235272025,NBEATS_Standard
1,TL,NHITS,Stabilized,46.73450293907752,0.2799690671456166,39.94211412087465,0.1653223095031885,NHITS_Stabilized
1,TL,NHITS,Standard,47.954435935387245,0.28491975443485457,42.97152498440865,0.17336794762657237,NHITS_Standard
1,ZeroShot,NBEATS,Stabilized,32.33467185191619,0.22631949453781808,14.47171906935863,0.08754734210192389,NBEATS_Stabilized
1,ZeroShot,NBEATS,Standard,34.99053788796449,0.2363154209959201,20.94553145384177,0.11856633080885957,NBEATS_Standard
1,ZeroShot,NHITS,Stabilized,41.04722516964643,0.2610608427188335,29.66835539004742,0.13524793716481864,NHITS_Stabilized
1,ZeroShot,NHITS,Standard,44.219868977864586,0.28985261305784565,36.99478320586376,0.19047191442969516,NHITS_Standard
2,Scratch,NBEATS,Stabilized,29.436616775317066,0.8224395521176167,13.232094639386887,0.3097064830362797,NBEATS_Stabilized
2,Scratch,NBEATS,Standard,30.272660915668194,0.834992548594108,15.04418956927764,0.347052653057453,NBEATS_Standard
2,Scratch,NHITS,Stabilized,28.2781029970218,0.7781646500031153,11.685829718907675,0.28408935226691073,NHITS_Stabilized
2,Scratch,NHITS,Standard,28.460076527717785,0.7777401636808347,12.510276418465835,0.30990996402807724,NHITS_Standard
2,TL,NBEATS,Stabilized,31.17147844265669,0.8644948716347035,17.698345911808502,0.41046645926932496,NBEATS_Stabilized
2,TL,NBEATS,Standard,31.292693969530934,0.8651251441393143,18.159186598582146,0.4192060366846048,NBEATS_Standard
2,TL,NHITS,Stabilized,29.759514099512344,0.834758365765596,17.829456864259182,0.4579568782295936,NHITS_Stabilized
2,TL,NHITS,Standard,30.192743545923477,0.8415781886149675,20.150772559337128,0.5135055291347014,NHITS_Standard
2,ZeroShot,NBEATS,Stabilized,30.647122823275055,0.8498490682015052,15.535194997604078,0.3587660388304637,NBEATS_Stabilized
2,ZeroShot,NBEATS,Standard,31.166352516565567,0.8612558658306414,17.948392764115948,0.41530642983240956,NBEATS_Standard
2,ZeroShot,NHITS,Stabilized,28.757282599424702,0.8154990145793328,13.408544095662924,0.3539673482569364,NHITS_Stabilized
2,ZeroShot,NHITS,Standard,30.095633702400402,0.8561338789952107,16.569279462863236,0.4504454059478564,NHITS_Standard
3,Scratch,NBEATS,Stabilized,37.508763753450836,1.3078181369182391,16.544552110708675,0.41632420263993436,NBEATS_Stabilized
3,Scratch,NBEATS,Standard,39.65608807099171,1.3720446511721,18.481423448293636,0.465746840223288,NBEATS_Standard
3,Scratch,NHITS,Stabilized,36.929705277467384,1.2980606578863585,15.725948008207174,0.40634562461995155,NHITS_Stabilized
3,Scratch,NHITS,Standard,37.65066386491824,1.3111034012757816,19.050006780868923,0.5140269578267366,NHITS_Standard
