w_accuracy_step,epoch,_timestamp,_step,tloss_step,w_stability_step,trainer/global_step,_runtime,tloss_a_step,tloss_s_step,w_stability_epoch,tloss_a_epoch,tloss_s_epoch,w_accuracy_epoch,tloss_epoch,RMSSE,RMSSC,sMAPE,sMAPC
,16,1778421258.0956957,47,,,1580,677.164256129,,,0.0,1.0412522554397583,0.43357881903648376,1.0,1.0412522554397583,,,,
1.0,17,1778421266.1026268,48,1.0318299531936646,0.0,1599,685.171094076,1.0318299531936646,0.46585768461227417,,,,,,,,,
1.0,17,1778421287.0388753,49,1.052602767944336,0.0,1649,706.107288879,1.052602767944336,0.4751768112182617,,,,,,,,,
,17,1778421298.1822424,50,,,1673,717.250712708,,,0.0,1.0335646867752075,0.4322147071361542,1.0,1.0335646867752075,,,,
1.0,18,1778421309.1426091,51,1.0347914695739746,0.0,1699,728.211212632,1.0347914695739746,0.43862560391426086,,,,,,,,,
1.0,18,1778421329.9813542,52,0.9991635084152222,0.0,1749,749.049832771,0.9991635084152222,0.41558772325515747,,,,,,,,,
,18,1778421338.21298,53,,,1766,757.28150009,,,0.0,1.0334147214889526,0.43233776092529297,1.0,1.0334147214889526,,,,
1.0,19,1778421351.9970915,54,1.1280486583709717,0.0,1799,771.065601342,1.1280486583709717,0.4347067177295685,,,,,,,,,
1.0,19,1778421372.8456495,55,1.047245740890503,0.0,1849,791.914082292,1.047245740890503,0.4628639221191406,,,,,,,,,
,19,1778421378.0777326,56,,,1859,797.146240396,,,0.0,1.038276195526123,0.4307047128677368,1.0,1.038276195526123,,,,
1.0,20,1778421394.915402,57,1.081092357635498,0.0,1899,813.983910982,1.081092357635498,0.4229543209075928,,,,,,,,,
1.0,20,1778421415.633086,58,0.9932423233985901,0.0,1949,834.701581203,0.9932423233985901,0.4012550711631775,,,,,,,,,
,20,1778421418.0038118,59,,,1952,837.072275876,,,0.0,1.0354056358337402,0.4274618923664093,1.0,1.0354056358337402,,,,
1.0,21,1778421437.4687083,60,1.0576640367507935,0.0,1999,856.537207273,1.0576640367507935,0.4234558939933777,,,,,,,,,
,21,1778421457.4317448,61,,,2045,876.500218307,,,0.0,1.0321524143218994,0.42786964774131775,1.0,1.0321524143218994,,,,
1.0,22,1778421459.095378,62,1.0217163562774658,0.0,2049,878.163631472,1.0217163562774658,0.4059752821922302,,,,,,,,,
1.0,22,1778421479.9558043,63,1.0246227979660034,0.0,2099,899.024308614,1.0246227979660034,0.4218289256095886,,,,,,,,,
,22,1778421497.026414,64,,,2138,916.094900972,,,0.0,1.0294156074523926,0.4250175356864929,1.0,1.0294156074523926,,,,
1.0,23,1778421501.6122687,65,1.0707323551177979,0.0,2149,920.680668442,1.0707323551177979,0.45725035667419434,,,,,,,,,
1.0,23,1778421522.1588106,66,0.9998377561569214,0.0,2199,941.227300766,0.9998377561569214,0.4269922375679016,,,,,,,,,
,23,1778421536.2836287,67,,,2231,955.352127382,,,0.0,1.0410115718841553,0.43059390783309937,1.0,1.0410115718841553,,,,
1.0,24,1778421543.7030163,68,0.9985029697418213,0.0,2249,962.771453203,0.9985029697418213,0.4140886068344116,,,,,,,,,
1.0,24,1778421564.467169,69,1.0495132207870483,0.0,2299,983.535572765,1.0495132207870483,0.42495065927505493,,,,,,,,,
,24,1778421575.9349544,70,,,2324,995.003387193,,,0.0,1.0315546989440918,0.42804697155952454,1.0,1.0315546989440918,,,,
1.0,25,1778421586.2714896,71,1.0118579864501953,0.0,2349,1005.340010366,1.0118579864501953,0.43531322479248047,,,,,,,,,
1.0,25,1778421607.3267057,72,1.0414594411849976,0.0,2399,1026.395129639,1.0414594411849976,0.43534672260284424,,,,,,,,,
,25,1778421615.8518968,73,,,2417,1034.920405678,,,0.0,1.03315007686615,0.4264737665653229,1.0,1.03315007686615,,,,
1.0,26,1778421629.3109336,74,1.0329965353012085,0.0,2449,1048.379513947,1.0329965353012085,0.4142811894416809,,,,,,,,,
1.0,26,1778421650.3872857,75,1.0100359916687012,0.0,2499,1069.455666881,1.0100359916687012,0.4114914536476135,,,,,,,,,
,26,1778421656.0803607,76,,,2510,1075.148834654,,,0.0,1.026443600654602,0.4255761504173279,1.0,1.026443600654602,,,,
1.0,27,1778421672.1480505,77,1.0588165521621704,0.0,2549,1091.216492957,1.0588165521621704,0.4278048872947693,,,,,,,,,
1.0,27,1778421692.8613482,78,1.0640724897384644,0.0,2599,1111.92975208,1.0640724897384644,0.4482593238353729,,,,,,,,,
,27,1778421695.4868517,79,,,2603,1114.555275095,,,0.0,1.0345536470413208,0.42578768730163574,1.0,1.0345536470413208,,,,
1.0,28,1778421714.5078185,80,1.0323889255523682,0.0,2649,1133.57638796,1.0323889255523682,0.42909765243530273,,,,,,,,,
,28,1778421735.1056845,81,,,2696,1154.174199771,,,0.0,1.0288389921188354,0.4230037331581116,1.0,1.0288389921188354,,,,
1.0,29,1778421736.339831,82,1.0615850687026978,0.0,2699,1155.408215535,1.0615850687026978,0.4582975506782532,,,,,,,,,
1.0,29,1778421757.0924869,83,1.0539573431015015,0.0,2749,1176.160853271,1.0539573431015015,0.4398195147514343,,,,,,,,,
,29,1778421774.711825,84,,,2789,1193.780379671,,,0.0,1.0368845462799072,0.4275869131088257,1.0,1.0368845462799072,,,,
,30,1778421787.265321,85,,,2790,1206.333829685,,,,,,,,1.0431718826293945,0.4295360743999481,11.505142211914062,4.069451808929443
