w_accuracy_step,w_stability_step,trainer/global_step,_runtime,tloss_a_step,tloss_s_step,tloss_step,epoch,_timestamp,_step,tloss_a_epoch,tloss_s_epoch,tloss_epoch,w_accuracy_epoch,w_stability_epoch,RMSSE,sMAPE,RMSSC,sMAPC
0.8500000238418579,0.15000000596046448,49,30.165372668,1.2813224792480469,0.28750622272491455,1.1322500705718994,0,1778788813.7092297,0,,,,,,,,,
,,92,55.991343762,,,,0,1778788839.5353005,1,1.3366947174072266,0.3676512837409973,1.1913381814956665,0.849999189376831,0.14999987185001373,,,,
0.8500000238418579,0.15000000596046448,99,60.255576128,1.0983211994171143,0.31326618790626526,0.9805629849433899,1,1778788843.7996342,2,,,,,,,,,
0.8500000238418579,0.15000000596046448,149,89.127513161,1.0884462594985962,0.3260685205459595,0.9740896224975586,1,1778788872.6714754,3,,,,,,,,,
,,185,111.017959929,,,,1,1778788894.5619075,4,1.1137003898620605,0.31039467453956604,0.9932044148445129,0.849999189376831,0.14999987185001373,,,,
0.8500000238418579,0.15000000596046448,199,119.134584591,1.105163812637329,0.3068600296974182,0.9854183197021484,2,1778788902.6786478,5,,,,,,,,,
0.8500000238418579,0.15000000596046448,249,147.686224262,1.0444926023483276,0.32840991020202637,0.9370802640914917,2,1778788931.2300572,6,,,,,,,,,
,,278,165.433398583,,,,2,1778788948.9772406,7,1.0702797174453735,0.3091939091682434,0.9561166167259216,0.849999189376831,0.14999987185001373,,,,
0.8500000238418579,0.15000000596046448,299,177.9000104,1.0798996686935425,0.28425055742263794,0.9605523347854614,3,1778788961.4441378,8,,,,,,,,,
0.8500000238418579,0.15000000596046448,349,206.778661313,1.0927348136901855,0.32270994782447815,0.9772310853004456,3,1778788990.322489,9,,,,,,,,,
,,371,220.704324674,,,,3,1778789004.2482665,10,1.0501700639724731,0.30565160512924194,0.9384926557540894,0.849999189376831,0.14999987185001373,,,,
0.8500000238418579,0.15000000596046448,399,236.911451555,1.046668291091919,0.33787477016448975,0.940349280834198,4,1778789020.4555013,11,,,,,,,,,
0.8500000238418579,0.15000000596046448,449,265.412662875,0.9654067754745483,0.2975848913192749,0.8652335405349731,4,1778789048.956594,12,,,,,,,,,
,,464,275.218764041,,,,4,1778789058.7626696,13,1.0357002019882202,0.3113091289997101,0.927041232585907,0.849999189376831,0.14999987185001373,,,,
0.8500000238418579,0.15000000596046448,499,295.562819282,1.0146961212158203,0.3083806335926056,0.9087488055229187,5,1778789079.1069598,14,,,,,,,,,
0.8500000238418579,0.15000000596046448,549,324.150206164,0.994991660118103,0.2814444899559021,0.8879595994949341,5,1778789107.6941822,15,,,,,,,,,
,,557,329.939987858,,,,5,1778789113.4839678,16,1.0143496990203857,0.3099672198295593,0.9086925387382507,0.849999189376831,0.14999987185001373,,,,
0.8500000238418579,0.15000000596046448,599,354.273666589,0.9376220703125,0.2988416254520416,0.8418050408363342,6,1778789137.817799,17,,,,,,,,,
0.8500000238418579,0.15000000596046448,649,383.267285646,1.0558912754058838,0.317618727684021,0.9451504349708557,6,1778789166.8112576,18,,,,,,,,,
,,650,384.978282701,,,,6,1778789168.5222723,19,0.9911133050918579,0.31682512164115906,0.8899702429771423,0.849999189376831,0.14999987185001373,,,,
0.8500000238418579,0.15000000596046448,699,413.661773626,1.0109127759933472,0.3418445587158203,0.9105525612831116,7,1778789197.2058814,20,,,,,,,,,
,,743,439.789900001,,,,7,1778789223.3338056,21,0.9817341566085815,0.3235391080379486,0.8830050230026245,0.849999189376831,0.14999987185001373,,,,
0.8500000238418579,0.15000000596046448,749,443.155404284,0.9773505926132202,0.31305208802223206,0.8777058124542236,8,1778789226.699412,22,,,,,,,,,
0.8500000238418579,0.15000000596046448,799,471.986058138,0.9651073813438416,0.30011898279190063,0.8653591275215149,8,1778789255.5301893,23,,,,,,,,,
,,836,494.175632014,,,,8,1778789277.7189806,24,0.9625415802001953,0.32331418991088867,0.8666577339172363,0.849999189376831,0.14999987185001373,,,,
0.8500000238418579,0.15000000596046448,849,501.793001617,0.9194912314414978,0.32111477851867676,0.8297348022460938,9,1778789285.3369825,25,,,,,,,,,
