experiment,condition,seed,run_id,sMAPE,RMSSE,RMSSC,sMAPC
A_Scratch_Standard_seed1,Scratch_Standard,1,728vhs9i,13.398683547973633,1.475605845451355,0.4761855900287628,5.957488059997559
A_Scratch_Standard_seed2,Scratch_Standard,2,sg1p770n,12.793378829956055,1.441448450088501,0.5005777478218079,5.184787750244141
A_Scratch_Standard_seed3,Scratch_Standard,3,5tbs7bsc,12.198591232299805,1.2219955921173096,0.564669668674469,5.622764587402344
B_Scratch_Stabilized_seed1,Scratch_Stabilized,1,6rf7lbtr,12.716267585754395,1.2303563356399536,0.3174058794975281,3.837599515914917
B_Scratch_Stabilized_seed2,Scratch_Stabilized,2,0quq13cu,12.395332336425781,1.2641749382019043,0.29121893644332886,3.7432007789611816
B_Scratch_Stabilized_seed3,Scratch_Stabilized,3,26i6is8i,12.373090744018555,1.2353439331054688,0.3062126636505127,3.8238348960876465
C_TL_Standard_pretrain_seed1,TL_Standard_pretrain,1,r3z5zi5o,10.984964370727539,1.5429506301879883,0.6880670189857483,4.877082347869873
C_TL_Standard_pretrain_seed2,TL_Standard_pretrain,2,l668d1t3,10.508040428161621,1.4146716594696045,0.5052081346511841,4.142547607421875
C_TL_Standard_pretrain_seed3,TL_Standard_pretrain,3,07ui0b0o,11.13921070098877,1.5857945680618286,0.6154893040657043,4.289852142333984
D_TL_Stabilized_pretrain_seed1,TL_Stabilized_pretrain,1,koanw5w6,10.759227752685547,1.477410912513733,0.37533530592918396,3.240830421447754
D_TL_Stabilized_pretrain_seed2,TL_Stabilized_pretrain,2,qfs01hl4,10.692517280578613,1.4721400737762451,0.3674207925796509,3.231398344039917
D_TL_Stabilized_pretrain_seed3,TL_Stabilized_pretrain,3,ar5h9f3a,10.70873737335205,1.4610943794250488,0.3903583586215973,3.3605034351348877
C_TL_Standard_finetune_seed1,TL_Standard,1,olpuict6,12.453922271728516,1.177885890007019,0.39607807993888855,5.598849296569824
C_TL_Standard_finetune_seed2,TL_Standard,2,g1739tm9,12.282352447509766,1.1717491149902344,0.3853786289691925,5.3734822273254395
C_TL_Standard_finetune_seed3,TL_Standard,3,0ly2i9nc,12.302179336547852,1.1491540670394897,0.4046829044818878,5.680981159210205
D_TL_Stabilized_finetune_seed1,TL_Stabilized,1,f1sogk2d,12.340628623962402,1.1687262058258057,0.3702980577945709,5.1960954666137695
D_TL_Stabilized_finetune_seed2,TL_Stabilized,2,8z2tj2hb,12.251688957214355,1.1797846555709839,0.37240836024284363,5.175345420837402
D_TL_Stabilized_finetune_seed3,TL_Stabilized,3,2xgr067v,12.30089282989502,1.152813196182251,0.3878560960292816,5.523502349853516
E_ZeroShot_Standard_seed1,ZeroShot_Standard,1,ehhwe0sv,13.078521728515625,1.268043875694275,0.4956916868686676,6.556727409362793
E_ZeroShot_Standard_seed2,ZeroShot_Standard,2,h6syaspu,12.488442420959473,1.2171485424041748,0.4094652831554413,5.657624244689941
E_ZeroShot_Standard_seed3,ZeroShot_Standard,3,jxf341ly,12.741366386413574,1.2717978954315186,0.49593019485473633,5.859710216522217
E_ZeroShot_Stabilized_seed1,ZeroShot_Stabilized,1,6ja1igtk,12.48619556427002,1.2764742374420166,0.3308829963207245,4.486471176147461
E_ZeroShot_Stabilized_seed2,ZeroShot_Stabilized,2,qu98cq7v,12.444626808166504,1.2648210525512695,0.3255404233932495,4.578134059906006
E_ZeroShot_Stabilized_seed3,ZeroShot_Stabilized,3,ha7sa808,12.387582778930664,1.2589263916015625,0.3448290526866913,4.733234882354736
