tloss_s_step,w_accuracy_step,epoch,trainer/global_step,_runtime,_step,tloss_a_step,tloss_step,w_stability_step,_timestamp,w_accuracy_epoch,w_stability_epoch,tloss_a_epoch,tloss_s_epoch,tloss_epoch,sMAPE,RMSSC,sMAPC,RMSSE
0.38801851868629456,1.0,0,49,20.024278873,0,1.2223713397979736,1.2223713397979736,0.0,1778423075.1852114,,,,,,,,,
,,0,92,38.187592711,1,,,,1778423093.348543,1.0,0.0,1.3712102174758911,0.39928123354911804,1.3712102174758911,,,,
0.4187965989112854,1.0,1,99,40.859674426,2,1.2000025510787964,1.2000025510787964,0.0,1778423096.020742,,,,,,,,,
0.42709508538246155,1.0,1,149,60.369175245,3,1.16493558883667,1.16493558883667,0.0,1778423115.5303578,,,,,,,,,
,,1,185,75.839148,4,,,,1778423131.000243,1.0,0.0,1.161316990852356,0.4252224862575531,1.161316990852356,,,,
0.4492291510105133,1.0,2,199,81.296827515,5,1.0787302255630493,1.0787302255630493,0.0,1778423136.4578974,,,,,,,,,
0.4246639013290405,1.0,2,249,100.797749532,6,1.1282379627227783,1.1282379627227783,0.0,1778423155.9587538,,,,,,,,,
,,2,278,113.778664375,7,,,,1778423168.939539,1.0,0.0,1.108762502670288,0.43813323974609375,1.108762502670288,,,,
0.4352545142173767,1.0,3,299,121.931864392,8,1.0581331253051758,1.0581331253051758,0.0,1778423177.0926983,,,,,,,,,
0.4567565321922302,1.0,3,349,141.529677861,9,1.051274299621582,1.051274299621582,0.0,1778423196.6906807,,,,,,,,,
,,3,371,151.738270512,10,,,,1778423206.8993127,1.0,0.0,1.084244728088379,0.4431582987308502,1.084244728088379,,,,
0.46366697549819946,1.0,4,399,162.699880855,11,1.080256462097168,1.080256462097168,0.0,1778423217.8609736,,,,,,,,,
0.42147862911224365,1.0,4,449,182.28818962,12,0.9661920070648193,0.9661920070648193,0.0,1778423237.4492555,,,,,,,,,
,,4,464,189.789281359,13,,,,1778423244.9503207,1.0,0.0,1.043975591659546,0.44561767578125,1.043975591659546,,,,
0.4465429484844208,1.0,5,499,203.388081959,14,1.0614473819732666,1.0614473819732666,0.0,1778423258.5491962,,,,,,,,,
0.4614306688308716,1.0,5,549,222.959866971,15,0.985535740852356,0.985535740852356,0.0,1778423278.1209395,,,,,,,,,
,,5,557,227.641113539,16,,,,1778423282.802138,1.0,0.0,1.038803219795227,0.42965853214263916,1.038803219795227,,,,
0.45495492219924927,1.0,6,599,244.033289156,17,1.1044702529907227,1.1044702529907227,0.0,1778423299.1942577,,,,,,,,,
0.4061707854270935,1.0,6,649,263.584425302,18,0.9632507562637329,0.9632507562637329,0.0,1778423318.7455087,,,,,,,,,
,,6,650,265.614975467,19,,,,1778423320.7759411,1.0,0.0,1.0312803983688354,0.4333692193031311,1.0312803983688354,,,,
