_runtime,tloss_a_step,tloss_s_step,w_accuracy_step,epoch,trainer/global_step,_step,tloss_step,w_stability_step,_timestamp,tloss_s_epoch,w_accuracy_epoch,w_stability_epoch,tloss_epoch,tloss_a_epoch,RMSSE,RMSSC,sMAPC,sMAPE
19.859829074,1.0009421110153198,0.4437602162361145,1.0,0,49,0,1.0009421110153198,0.0,1778448606.3413424,,,,,,,,,
37.772669946,,,,0,92,1,,,1778448624.2542913,0.46616798639297485,1.0,0.0,1.0742707252502441,1.0742707252502441,,,,
40.564901185,1.0558186769485474,0.44046175479888916,1.0,1,99,2,1.0558186769485474,0.0,1778448627.0465631,,,,,,,,,
59.532798088,1.0382866859436035,0.4556598365306854,1.0,1,149,3,1.0382866859436035,0.0,1778448646.0145016,,,,,,,,,
74.721229684,,,,1,185,4,,,1778448661.202809,0.461163729429245,1.0,0.0,1.0688146352767944,1.0688146352767944,,,,
80.114908722,0.991407573223114,0.42801353335380554,1.0,2,199,5,0.991407573223114,0.0,1778448666.5964937,,,,,,,,,
99.279474898,1.1083312034606934,0.44065821170806885,1.0,2,249,6,1.1083312034606934,0.0,1778448685.760972,,,,,,,,,
111.987142378,,,,2,278,7,,,1778448698.468835,0.4559030532836914,1.0,0.0,1.0677478313446045,1.0677478313446045,,,,
119.97891408,1.1187074184417725,0.49995219707489014,1.0,3,299,8,1.1187074184417725,0.0,1778448706.4606712,,,,,,,,,
139.148439419,1.0725629329681396,0.44961872696876526,1.0,3,349,9,1.0725629329681396,0.0,1778448725.630087,,,,,,,,,
149.133798694,,,,3,371,10,,,1778448735.6154718,0.4560467600822449,1.0,0.0,1.0646401643753052,1.0646401643753052,,,,
160.064559694,1.0447399616241455,0.445208877325058,1.0,4,399,11,1.0447399616241455,0.0,1778448746.5462556,,,,,,,,,
179.512772831,1.0905745029449463,0.45809686183929443,1.0,4,449,12,1.0905745029449463,0.0,1778448765.9944146,,,,,,,,,
186.986196483,,,,4,464,13,,,1778448773.4678266,0.45573437213897705,1.0,0.0,1.0583477020263672,1.0583477020263672,,,,
200.38870497,1.0359585285186768,0.4396939277648926,1.0,5,499,14,1.0359585285186768,0.0,1778448786.8704476,,,,,,,,,
219.676296619,1.0586268901824951,0.42135968804359436,1.0,5,549,15,1.0586268901824951,0.0,1778448806.1578133,,,,,,,,,
224.312711734,,,,5,557,16,,,1778448810.7944598,0.4483296275138855,1.0,0.0,1.0498247146606445,1.0498247146606445,,,,
240.603123095,1.056749939918518,0.45086443424224854,1.0,6,599,17,1.056749939918518,0.0,1778448827.0847907,,,,,,,,,
259.934472889,1.0558838844299316,0.4240031838417053,1.0,6,649,18,1.0558838844299316,0.0,1778448846.4161248,,,,,,,,,
261.946820515,,,,6,650,19,,,1778448848.4284708,0.4481356739997864,1.0,0.0,1.0528358221054077,1.0528358221054077,,,,
280.651881447,1.0588772296905518,0.4529606103897095,1.0,7,699,20,1.0588772296905518,0.0,1778448867.1336863,,,,,,,,,
299.217618229,,,,7,743,21,,,1778448885.6993072,0.4459550380706787,1.0,0.0,1.0494548082351685,1.0494548082351685,,,,
301.635067193,1.043231725692749,0.45031291246414185,1.0,8,749,22,1.043231725692749,0.0,1778448888.116817,,,,,,,,,
320.788412425,1.0634385347366333,0.4437791705131531,1.0,8,799,23,1.0634385347366333,0.0,1778448907.2701,,,,,,,,,
336.697356341,,,,8,836,24,,,1778448923.1789768,0.4484851658344269,1.0,0.0,1.0499284267425537,1.0499284267425537,,,,
341.739774334,1.0761072635650635,0.44240862131118774,1.0,9,849,25,1.0761072635650635,0.0,1778448928.2214444,,,,,,,,,
360.940374312,1.088104248046875,0.46446770429611206,1.0,9,899,26,1.088104248046875,0.0,1778448947.4220805,,,,,,,,,
373.958689592,,,,9,929,27,,,1778448960.4403467,0.4480065107345581,1.0,0.0,1.0519521236419678,1.0519521236419678,,,,
381.7056819,1.13881254196167,0.4602817893028259,1.0,10,949,28,1.13881254196167,0.0,1778448968.1873643,,,,,,,,,
400.73731405,1.106781244277954,0.5020641684532166,1.0,10,999,29,1.106781244277954,0.0,1778448987.2189996,,,,,,,,,
411.202956888,,,,10,1022,30,,,1778448997.6846447,0.4511961042881012,1.0,0.0,1.054976224899292,1.054976224899292,,,,
421.528649063,0.9894347190856934,0.4658365249633789,1.0,11,1049,31,0.9894347190856934,0.0,1778449008.0104206,,,,,,,,,
440.529964321,1.0505201816558838,0.437824010848999,1.0,11,1099,32,1.0505201816558838,0.0,1778449027.0116878,,,,,,,,,
448.414589299,,,,11,1115,33,,,1778449034.89631,0.44744306802749634,1.0,0.0,1.0512315034866333,1.0512315034866333,,,,
461.612503595,1.0778369903564453,0.4681389331817627,1.0,12,1149,34,1.0778369903564453,0.0,1778449048.094104,,,,,,,,,
480.838753922,0.9749389290809631,0.4424116611480713,1.0,12,1199,35,0.9749389290809631,0.0,1778449067.3204093,,,,,,,,,
485.964583505,,,,12,1208,36,,,1778449072.4462435,0.4445783495903015,1.0,0.0,1.0464799404144287,1.0464799404144287,,,,
501.806691983,1.039857029914856,0.41403722763061523,1.0,13,1249,37,1.039857029914856,0.0,1778449088.2883449,,,,,,,,,
521.060706815,1.0935323238372803,0.44222092628479004,1.0,13,1299,38,1.0935323238372803,0.0,1778449107.54235,,,,,,,,,
523.437125764,,,,13,1301,39,,,1778449109.918737,0.44470980763435364,1.0,0.0,1.048925757408142,1.048925757408142,,,,
542.005646489,1.0397902727127075,0.43533825874328613,1.0,14,1349,40,1.0397902727127075,0.0,1778449128.487402,,,,,,,,,
560.788523555,,,,14,1394,41,,,1778449147.2701573,0.4461361765861511,1.0,0.0,1.0426843166351318,1.0426843166351318,,,,
562.671514395,1.094486117362976,0.4786364436149597,1.0,15,1399,42,1.094486117362976,0.0,1778449149.1532142,,,,,,,,,
581.837684758,1.07450270652771,0.4145106375217438,1.0,15,1449,43,1.07450270652771,0.0,1778449168.3193486,,,,,,,,,
598.052740211,,,,15,1487,44,,,1778449184.5343792,0.4447963237762451,1.0,0.0,1.04682195186615,1.04682195186615,,,,
602.761500776,1.022937297821045,0.42652320861816406,1.0,16,1499,45,1.022937297821045,0.0,1778449189.2431064,,,,,,,,,
621.9605674,1.0461499691009521,0.44510555267333984,1.0,16,1549,46,1.0461499691009521,0.0,1778449208.4423878,,,,,,,,,
635.387539846,,,,16,1580,47,,,1778449221.8692892,0.4385860860347748,1.0,0.0,1.043130874633789,1.043130874633789,,,,
642.635632442,1.0879113674163818,0.4401808977127075,1.0,17,1599,48,1.0879113674163818,0.0,1778449229.1174042,,,,,,,,,
661.815463593,1.0380351543426514,0.43449825048446655,1.0,17,1649,49,1.0380351543426514,0.0,1778449248.2972903,,,,,,,,,
672.818318246,,,,17,1673,50,,,1778449259.2999055,0.4436277449131012,1.0,0.0,1.0455421209335327,1.0455421209335327,,,,
682.980321302,1.0354713201522827,0.4256238043308258,1.0,18,1699,51,1.0354713201522827,0.0,1778449269.4620895,,,,,,,,,
702.171062368,1.0523875951766968,0.45811691880226135,1.0,18,1749,52,1.0523875951766968,0.0,1778449288.652759,,,,,,,,,
710.493308739,,,,18,1766,53,,,1778449296.9749284,0.44081398844718933,1.0,0.0,1.0462000370025635,1.0462000370025635,,,,
723.165724682,0.9657125473022461,0.42502814531326294,1.0,19,1799,54,0.9657125473022461,0.0,1778449309.6473632,,,,,,,,,
742.51186064,1.1325172185897827,0.46229416131973267,1.0,19,1849,55,1.1325172185897827,0.0,1778449328.9935398,,,,,,,,,
747.886377137,,,,19,1859,56,,,1778449334.3679338,0.44034454226493835,1.0,0.0,1.0382239818572998,1.0382239818572998,,,,
763.282800773,1.017507553100586,0.4414788484573364,1.0,20,1899,57,1.017507553100586,0.0,1778449349.7645197,,,,,,,,,
782.57921222,1.1066640615463257,0.4588205814361572,1.0,20,1949,58,1.1066640615463257,0.0,1778449369.0608077,,,,,,,,,
785.294049724,,,,20,1952,59,,,1778449371.7756116,0.4409162402153015,1.0,0.0,1.0438008308410645,1.0438008308410645,,,,
803.391917454,1.0548694133758545,0.46150290966033936,1.0,21,1999,60,1.0548694133758545,0.0,1778449389.873591,,,,,,,,,
822.84888984,,,,21,2045,61,,,1778449409.330549,0.441927433013916,1.0,0.0,1.044089913368225,1.044089913368225,,,,
824.467273857,1.042027235031128,0.4913266599178314,1.0,22,2049,62,1.042027235031128,0.0,1778449410.9489045,,,,,,,,,
844.01424522,1.026005744934082,0.4422396421432495,1.0,22,2099,63,1.026005744934082,0.0,1778449430.4959497,,,,,,,,,
861.569458812,,,,22,2138,64,,,1778449448.051087,0.44153645634651184,1.0,0.0,1.0446699857711792,1.0446699857711792,,,,
865.922700705,1.0329539775848389,0.4455743432044983,1.0,23,2149,65,1.0329539775848389,0.0,1778449452.4044707,,,,,,,,,
885.269818236,1.0178302526474,0.41655468940734863,1.0,23,2199,66,1.0178302526474,0.0,1778449471.7515142,,,,,,,,,
899.401536644,,,,23,2231,67,,,1778449485.883261,0.4409151077270508,1.0,0.0,1.0386931896209717,1.0386931896209717,,,,
906.477693545,1.0997588634490967,0.4628521800041199,1.0,24,2249,68,1.0997588634490967,0.0,1778449492.959449,,,,,,,,,
925.651222533,1.0532619953155518,0.41392233967781067,1.0,24,2299,69,1.0532619953155518,0.0,1778449512.132818,,,,,,,,,
936.938787492,,,,24,2324,70,,,1778449523.4202926,0.44281765818595886,1.0,0.0,1.0435148477554321,1.0435148477554321,,,,
946.731325393,1.0642632246017456,0.47274070978164673,1.0,25,2349,71,1.0642632246017456,0.0,1778449533.2129438,,,,,,,,,
966.055290631,1.0458709001541138,0.4166073799133301,1.0,25,2399,72,1.0458709001541138,0.0,1778449552.536896,,,,,,,,,
974.657259504,,,,25,2417,73,,,1778449561.138917,0.43679025769233704,1.0,0.0,1.0385972261428833,1.0385972261428833,,,,
987.132328862,1.0680265426635742,0.43711307644844055,1.0,26,2449,74,1.0680265426635742,0.0,1778449573.6141312,,,,,,,,,
1006.15097061,1.0750038623809814,0.43187326192855835,1.0,26,2499,75,1.0750038623809814,0.0,1778449592.6327872,,,,,,,,,
1012.019021188,,,,26,2510,76,,,1778449598.5006912,0.44074055552482605,1.0,0.0,1.0435824394226074,1.0435824394226074,,,,
1026.976630837,1.041671633720398,0.4570980370044708,1.0,27,2549,77,1.041671633720398,0.0,1778449613.4582717,,,,,,,,,
1046.303295555,1.0256685018539429,0.444198876619339,1.0,27,2599,78,1.0256685018539429,0.0,1778449632.7849631,,,,,,,,,
1049.433871147,,,,27,2603,79,,,1778449635.9155157,0.44207361340522766,1.0,0.0,1.043094515800476,1.043094515800476,,,,
1067.17635997,1.0454356670379639,0.43063586950302124,1.0,28,2649,80,1.0454356670379639,0.0,1778449653.6581652,,,,,,,,,
1087.009501481,,,,28,2696,81,,,1778449673.4910977,0.4380231201648712,1.0,0.0,1.037076711654663,1.037076711654663,,,,
1088.150046891,1.08567476272583,0.45407307147979736,1.0,29,2699,82,1.08567476272583,0.0,1778449674.6318808,,,,,,,,,
1107.355050228,1.0034117698669434,0.45580384135246277,1.0,29,2749,83,1.0034117698669434,0.0,1778449693.8367732,,,,,,,,,
1124.189778406,,,,29,2789,84,,,1778449710.671544,0.4393884837627411,1.0,0.0,1.0416547060012817,1.0416547060012817,,,,
1137.207456518,,,,30,2790,85,,,1778449723.689218,,,,,,1.0589579343795776,0.44535017013549805,4.368695259094238,11.575748443603516
