epoch,_timestamp,_runtime,tloss_a_step,tloss_step,trainer/global_step,_step,tloss_s_step,w_accuracy_step,w_stability_step,tloss_s_epoch,tloss_epoch,w_accuracy_epoch,w_stability_epoch,tloss_a_epoch,RMSSC,RMSSE,sMAPE,sMAPC
0,1778816928.7309906,32.510697537,1.5114514827728271,1.349321961402893,49,0,0.4305875897407532,0.8500000238418579,0.15000000596046448,,,,,,,,,
0,1778816953.7403448,57.519855058,,,92,1,,,,0.43132489919662476,1.5609800815582275,0.849999189376831,0.14999987185001373,1.7603310346603394,,,,
1,1778816961.8148725,65.59429783,1.3332388401031494,1.207374095916748,99,2,0.4941396117210388,0.8500000238418579,0.15000000596046448,,,,,,,,,
1,1778816989.6503687,93.429912407,1.4082860946655273,1.2639104127883911,149,3,0.4457815885543823,0.8500000238418579,0.15000000596046448,,,,,,,,,
1,1778817011.0683796,114.847812889,,,185,4,,,,0.4877844750881195,1.3179186582565308,0.849999189376831,0.14999987185001373,1.464413046836853,,,,
2,1778817023.3911564,127.170596438,1.324255347251892,1.1976611614227295,199,5,0.4802946150302887,0.8500000238418579,0.15000000596046448,,,,,,,,,
2,1778817050.6508281,154.43028777,1.3284351825714111,1.20198655128479,249,6,0.48544397950172424,0.8500000238418579,0.15000000596046448,,,,,,,,,
2,1778817068.365366,172.14484467,,,278,7,,,,0.4888131022453308,1.270068645477295,0.849999189376831,0.14999987185001373,1.4079370498657227,,,,
3,1778817084.1273248,187.906670558,1.4206931591033936,1.281140923500061,299,8,0.4903443455696106,0.8500000238418579,0.15000000596046448,,,,,,,,,
3,1778817111.476462,215.255978614,1.3837966918945312,1.2524254322052002,349,9,0.5079881548881531,0.8500000238418579,0.15000000596046448,,,,,,,,,
3,1778817125.130948,228.910527079,,,371,10,,,,0.4764184057712555,1.2464193105697632,0.849999189376831,0.14999987185001373,1.382301926612854,,,,
4,1778817145.3406866,249.120230489,1.270939588546753,1.1502817869186401,399,11,0.4665543735027313,0.8500000238418579,0.15000000596046448,,,,,,,,,
4,1778817172.7184198,276.49790356,1.371045470237732,1.2300808429718018,449,12,0.4312804937362671,0.8500000238418579,0.15000000596046448,,,,,,,,,
4,1778817182.743596,286.523002047,,,464,13,,,,0.4735450744628906,1.216321587562561,0.849999189376831,0.14999987185001373,1.347400426864624,,,,
5,1778817206.2229424,310.002300937,1.2418603897094727,1.1181350946426392,499,14,0.41702526807785034,0.8500000238418579,0.15000000596046448,,,,,,,,,
5,1778817233.738855,337.518376556,1.4049320220947266,1.2667889595031738,549,15,0.4839778542518616,0.8500000238418579,0.15000000596046448,,,,,,,,,
5,1778817239.788123,343.567690605,,,557,16,,,,0.46772539615631104,1.2264043092727661,0.849999189376831,0.14999987185001373,1.3602888584136963,,,,
6,1778817267.6561275,371.435558353,1.2364416122436523,1.1177241802215576,599,17,0.4449915289878845,0.8500000238418579,0.15000000596046448,,,,,,,,,
6,1778817295.204009,398.983479486,1.3201489448547363,1.1946858167648315,649,18,0.4837283194065094,0.8500000238418579,0.15000000596046448,,,,,,,,,
6,1778817297.6586392,401.438114124,,,650,19,,,,0.4596221148967743,1.1876205205917358,0.849999189376831,0.14999987185001373,1.3160912990570068,,,,
7,1778817329.1034596,432.882767968,1.2680302858352661,1.1494534015655518,699,20,0.47751766443252563,0.8500000238418579,0.15000000596046448,,,,,,,,,
7,1778817354.8704443,458.650100975,,,743,21,,,,0.4705360233783722,1.184030294418335,0.849999189376831,0.14999987185001373,1.3099408149719238,,,,
8,1778817362.8319888,466.611349315,1.3523317575454712,1.2202086448669434,749,22,0.47151127457618713,0.8500000238418579,0.15000000596046448,,,,,,,,,
8,1778817390.2933304,494.072713875,1.3804636001586914,1.2460588216781616,799,23,0.4844316244125366,0.8500000238418579,0.15000000596046448,,,,,,,,,
8,1778817412.3651853,516.144618765,,,836,24,,,,0.46893200278282166,1.1835061311721802,0.849999189376831,0.14999987185001373,1.3096070289611816,,,,
9,1778817423.801541,527.580942407,1.3348591327667236,1.2036696672439575,849,25,0.46026191115379333,0.8500000238418579,0.15000000596046448,,,,,,,,,
9,1778817451.2957082,555.075012431,1.2758581638336182,1.1563096046447754,899,26,0.4788675308227539,0.8500000238418579,0.15000000596046448,,,,,,,,,
9,1778817469.59468,573.374094166,,,929,27,,,,0.46119874715805054,1.1812821626663208,0.849999189376831,0.14999987185001373,1.3083560466766357,,,,
10,1778817485.04547,588.824929414,1.327906608581543,1.1961567401885986,949,28,0.44957423210144043,0.8500000238418579,0.15000000596046448,,,,,,,,,
10,1778817512.6208203,616.40014425,1.3591396808624268,1.2260463237762451,999,29,0.47184982895851135,0.8500000238418579,0.15000000596046448,,,,,,,,,
10,1778817527.0921667,630.871609993,,,1022,30,,,,0.4665094316005707,1.181042194366455,0.849999189376831,0.14999987185001373,1.307136058807373,,,,
11,1778817546.616916,650.396358843,1.3108333349227905,1.1850290298461914,1049,31,0.4721382260322571,0.8500000238418579,0.15000000596046448,,,,,,,,,
11,1778817573.8472168,677.626515325,1.340472936630249,1.21123206615448,1099,32,0.47886717319488525,0.8500000238418579,0.15000000596046448,,,,,,,,,
11,1778817584.4031653,688.182592676,,,1115,33,,,,0.4588668644428253,1.156574010848999,0.849999189376831,0.14999987185001373,1.2796984910964966,,,,
12,1778817607.9416,711.721068946,1.3949129581451416,1.2612955570220947,1149,34,0.5041292905807495,0.8500000238418579,0.15000000596046448,,,,,,,,,
12,1778817635.205536,738.984910928,1.304031491279602,1.174715518951416,1199,35,0.44192439317703247,0.8500000238418579,0.15000000596046448,,,,,,,,,
12,1778817642.3873332,746.166728737,,,1208,36,,,,0.4656025469303131,1.1737539768218994,0.849999189376831,0.14999987185001373,1.2987219095230103,,,,
13,1778817669.5949273,773.374381716,1.2106268405914307,1.0928505659103394,1249,37,0.4254518747329712,0.8500000238418579,0.15000000596046448,,,,,,,,,
13,1778817696.8336012,800.612979623,1.2115153074264526,1.0910733938217163,1299,38,0.4085693955421448,0.8500000238418579,0.15000000596046448,,,,,,,,,
13,1778817699.7281892,803.507626873,,,1301,39,,,,0.46061334013938904,1.1612688302993774,0.849999189376831,0.14999987185001373,1.2849137783050537,,,,
14,1778817730.789117,834.568908281,1.2842801809310913,1.16695237159729,1349,40,0.502094030380249,0.8500000238418579,0.15000000596046448,,,,,,,,,
14,1778817757.2850397,861.064563334,,,1394,41,,,,0.46088191866874695,1.1533288955688477,0.849999189376831,0.14999987185001373,1.2755255699157715,,,,
