experiment,run_id,sMAPE,RMSSE,RMSSC,sMAPC
Lambda_0.0_seed1,cd7s4pvf,12.344401359558105,1.1093515157699585,0.5220907926559448,6.156614303588867
Lambda_0.02_seed1,sq766yqq,12.21763801574707,1.1067497730255127,0.49297741055488586,5.8150858879089355
Lambda_0.05_seed1,htrrkfns,12.073749542236328,1.1060291528701782,0.469683438539505,5.374320983886719
Lambda_0.1_seed1,plycsuz0,11.97723388671875,1.099740743637085,0.43562883138656616,4.942246437072754
Lambda_0.15_seed1,tzkqoww0,11.953865051269531,1.104004979133606,0.40828368067741394,4.66095495223999
