series_id,scenario,arch,variant,sMAPE,RMSSE,sMAPC,RMSSC,model
0,Scratch,NBEATS,Stabilized,72.21347486055814,0.5785807921336248,47.8303025319026,0.37126148262849223,NBEATS_Stabilized
0,Scratch,NBEATS,Standard,76.40633069551907,0.6162163156729478,61.41382334782527,0.425174722304711,NBEATS_Standard
0,Scratch,NHITS,Stabilized,82.55640763502855,0.6912517685156602,82.62233235285832,0.640488503070978,NHITS_Stabilized
0,Scratch,NHITS,Standard,75.06644116915189,0.6305238191898053,63.969074542705826,0.5446734565954942,NHITS_Standard
0,TL,NBEATS,Stabilized,57.306567412156326,0.5010378910945013,12.130538922089796,0.10125806110982712,NBEATS_Stabilized
0,TL,NBEATS,Standard,57.21802021906926,0.5034954020610223,12.67329462674948,0.10093361354218079,NBEATS_Standard
0,TL,NHITS,Stabilized,57.58872604370117,0.5010200807681451,14.171864803020771,0.11775966045948175,NHITS_Stabilized
0,TL,NHITS,Standard,56.81913463885967,0.4950194083727323,12.082956350766695,0.10203526828151482,NHITS_Standard
0,ZeroShot,NBEATS,Stabilized,60.44022442744328,0.5239599920236148,11.89634343293997,0.11254615909778155,NBEATS_Stabilized
0,ZeroShot,NBEATS,Standard,59.09542465209961,0.5167339169062101,12.892289271721474,0.10992991035947433,NBEATS_Standard
0,ZeroShot,NHITS,Stabilized,59.57809301523062,0.5216778402145092,14.645361551871666,0.13144605005016693,NHITS_Stabilized
0,ZeroShot,NHITS,Standard,59.957096099853516,0.5176050433745751,15.143975074474628,0.13419535326269957,NHITS_Standard
1,Scratch,NBEATS,Stabilized,54.06523044292744,0.34138451287379634,58.41134966336764,0.3480792481165666,NBEATS_Stabilized
1,Scratch,NBEATS,Standard,48.85489933307354,0.31161997066094327,48.53516901456393,0.28531494507422817,NBEATS_Standard
1,Scratch,NHITS,Stabilized,54.668934455284706,0.39004698395729065,64.06372657189003,0.41279009443063003,NHITS_Stabilized
1,Scratch,NHITS,Standard,64.13438899700458,0.40314957155631137,74.0245698782114,0.44874062217198885,NHITS_Standard
1,TL,NBEATS,Stabilized,26.70455235701341,0.19418585300445557,13.57396019422091,0.08332596203455558,NBEATS_Stabilized
1,TL,NBEATS,Standard,26.92273653470553,0.1938667199932612,10.46080548946674,0.07063010707497597,NBEATS_Standard
1,TL,NHITS,Stabilized,26.630699377793533,0.19110508549671906,11.020413050284752,0.07624796176185974,NHITS_Stabilized
1,TL,NHITS,Standard,26.775663889371433,0.19498628205977953,11.828830847373375,0.08027768292679237,NHITS_Standard
1,ZeroShot,NBEATS,Stabilized,28.787945894094612,0.20415459401332414,9.251222463754507,0.06505414055517086,NBEATS_Stabilized
1,ZeroShot,NBEATS,Standard,28.14728223360502,0.20478428155183792,11.244837210728573,0.07744015810581353,NBEATS_Standard
1,ZeroShot,NHITS,Stabilized,30.04813737135667,0.21041778990855584,15.573217685406025,0.10897272309431663,NHITS_Stabilized
1,ZeroShot,NHITS,Standard,29.023355410649227,0.2039485092346485,10.788040674649752,0.07668866904882285,NHITS_Standard
2,Scratch,NBEATS,Stabilized,31.580608367919922,0.8705339202514062,20.06850946866549,0.5630546693618481,NBEATS_Stabilized
2,Scratch,NBEATS,Standard,28.706681691683254,0.8179861719791706,20.21411000765287,0.5830508699783912,NBEATS_Standard
2,Scratch,NHITS,Stabilized,34.29966794527494,1.0011847523542552,29.202123421889084,0.8071816013409541,NHITS_Stabilized
2,Scratch,NHITS,Standard,33.71609247647799,0.9570974065707281,25.385507510258602,0.7510118725208136,NHITS_Standard
2,TL,NBEATS,Stabilized,29.64830669989953,0.8095546983755552,5.705550652283889,0.13854901463939592,NBEATS_Stabilized
2,TL,NBEATS,Standard,29.904796086824856,0.8168613635576688,8.039697647094727,0.19086801862487426,NBEATS_Standard
2,TL,NHITS,Stabilized,31.10213903280405,0.8541439725802495,7.564784435125498,0.1827539217013579,NHITS_Stabilized
2,TL,NHITS,Standard,31.639412586505596,0.8564701538819534,8.268252721199623,0.19536803720089105,NHITS_Standard
2,ZeroShot,NBEATS,Stabilized,29.151820182800293,0.8007423075345846,7.864348402390113,0.18973407579156068,NBEATS_Stabilized
2,ZeroShot,NBEATS,Standard,30.267971772413986,0.8196731221217376,9.596957050837004,0.2316164755477355,NBEATS_Standard
2,ZeroShot,NHITS,Stabilized,30.574616798987755,0.8589129402087285,10.961009282332201,0.2630407139658928,NHITS_Stabilized
2,ZeroShot,NHITS,Standard,30.95833374903752,0.8486497711676818,10.367421792103695,0.25476619945122647,NHITS_Standard
3,Scratch,NBEATS,Stabilized,36.4869883610652,1.2743251736347492,24.58697326366718,0.8359806675177354,NBEATS_Stabilized
3,Scratch,NBEATS,Standard,38.25172365628756,1.3454768520135145,20.747861642103928,0.6648294237943796,NBEATS_Standard
3,Scratch,NHITS,Stabilized,42.088548733637886,1.4981327194433947,38.486733143146225,1.1846548227163463,NHITS_Stabilized
3,Scratch,NHITS,Standard,41.3225395496075,1.4606745197222784,31.794395446777344,0.9825057570750897,NHITS_Standard
3,TL,NBEATS,Stabilized,49.36640137892503,1.584960671571585,12.63153890463022,0.2860387898981571,NBEATS_Stabilized
3,TL,NBEATS,Standard,48.13762591435359,1.5597325700979967,13.196018439072828,0.32163680172883546,NBEATS_Standard
3,TL,NHITS,Stabilized,49.988278315617485,1.5990644785074086,12.376953235039345,0.28782844084959763,NHITS_Stabilized
3,TL,NHITS,Standard,49.11954512962928,1.581044825223776,14.527567074849056,0.3369572182687429,NHITS_Standard
